1|4519|Public
5000|$|... #Caption: 'Avon', a <b>ground</b> <b>cover</b> <b>rose</b> {{introduced}} by Poulson in 1992 ...|$|E
5000|$|Green Garden - a conifer {{collection}} with evergreen <b>ground</b> <b>cover,</b> as well {{as about}} 8000 tulips, azalea, <b>ground</b> <b>cover</b> <b>roses,</b> and Erica tetralix.|$|R
50|$|Reimer {{moved on}} from shrub roses to {{concentrate}} on brilliantly coloured Hybrid Teas and Floribundas for private and public gardens. Nevertheless, he introduced roses of every type: large-flowered climbers such as 'Alchymist' (1956) and 'Antike 89' (1988); <b>ground</b> <b>cover</b> <b>roses</b> such as 'Immensee' and 'Sommerwind'; Hybrid Teas including 'Duftzauber 84' (1984) and 'Kupferkönigin' (1996); shrubs such as 'Chiarivari' (1970), 'Lucinde' (1988), and 'Rosenstadt Zweibrücken' (1989); Floribundas such as 'Golden Holstein' (1988) and 'Crimson Bouquet' (1999); and cut-flower roses such as 'Champagner' (1985).|$|R
5000|$|Poulson, the Danish rose dynasty, was {{established}} in 1878 and originally focused on breeding roses hardy enough to withstand the Scandinavian climate. Later introductions notable for their form and colour include 'Chinatown' (1963) and 'Ingrid Bergman' (1984). The nursery developed a number of successful <b>ground</b> <b>cover</b> (landscape) <b>roses,</b> including 'Kent' (1988).|$|R
5000|$|In 1969, the {{academic}} master plan underwent a major revision {{as the first}} master's degrees in biology and psychology were offered. The new cluster school concept, coupled with a more intense focus on the surrounding rural environment, influenced the new physical master plan. The first facility built under the new plan was the Zinfandel residence area, a [...] "village" [...] of stucco and redwood structures. The new Student Health Center used a primarily redwood façade with a landscaped <b>ground</b> <b>cover</b> of wild <b>roses</b> and poppies. In 1975, Nichols Hall was built as the newest classroom hall and {{named in honor of}} Sonoma's founding president, Ambrose R. Nichols.|$|R
40|$|This NebGuide {{describes}} how to plant and maintain <b>ground</b> <b>covers</b> {{to take advantage}} of their low-maintenance features. <b>Ground</b> <b>covers</b> are low-growing plants, usually less than 12 inches tall, that spread to form dense mats which bind and hold the soil in place. Many also have a season of effective bloom. Turfgrass is the most common <b>ground</b> <b>cover.</b> However, sites that are less suitable for turfgrass, such as slopes, steep banks, and shaded areas, can often grow other <b>ground</b> <b>covers</b> successfully. A well-established <b>ground</b> <b>cover</b> generally requires less maintenance than the typical turfgrass lawn. <b>Ground</b> <b>covers</b> are not totally maintenance-free, nor will they always tolerate conditions that will not support a turf...|$|R
40|$|This NebGuide {{describes}} how {{to evaluate a}} site for <b>ground</b> <b>cover</b> and {{the characteristics of the}} most common <b>ground</b> <b>cover</b> species grown in Nebraska. <b>Ground</b> <b>covers</b> are low-growing plants used in landscaping for mulching or covering the soil. They are typically low growing but may range in height from just inches to over 4 feet tall. <b>Ground</b> <b>covers</b> differ in color, texture and form and can be herbaceous, woody, succulent or grassy. Some have attractive flowers, while others are grown only for their foliage. Selecting the best species for a site is important to its success as a <b>ground</b> <b>cover.</b> When choosing a <b>ground</b> <b>cover,</b> consider sun and wind exposure, soil type and pH, and the function it will have in the landscape...|$|R
40|$|New {{methods were}} tested to {{evaluate}} the <b>ground</b> <b>cover</b> parameters used in the WEPP model. Rainfall simulator plot data, collected from fifteen rangeland ecosystems across the western United States, were used to evaluate modifications to the <b>ground</b> <b>cover</b> components for rill and interrill areas in the model. Observed and predicted values of average sediment yield were compared for six different configurations of the model. The modifications made to WEPP to incorporate measured <b>ground</b> <b>cover</b> distributions resulted in a lower r 2 for predicted sediment yield {{than any of the}} configurations in which <b>ground</b> <b>cover</b> distribution was not modified. This result was due to a reduction in the calculated value of total interrill <b>ground</b> <b>cover.</b> The model equations used to adjust interrill erodibility for the effect of interrill <b>ground</b> <b>cover</b> were adversely affected. The result was that interrill erodibility values were increased for many of the plots tested...|$|R
50|$|In an ecosystem, the <b>ground</b> <b>cover</b> {{forms the}} layer of {{vegetation}} below the shrub layer known as the herbaceous layer. The most widespread <b>ground</b> <b>covers</b> are grasses of various types.|$|R
40|$|The {{potential}} of imaging spectroscopy {{for the assessment}} of seasonal dry-matter (DM) yield and sward quality was studied. Relationships between spatial heterogeneity of tiller density, light interception, <b>ground</b> <b>cover</b> and seasonal DM yield were developed. Sward heterogeneity was quantified by the spatial standard deviation of <b>ground</b> <b>cover</b> and of logarithmically transformed <b>ground</b> <b>cover,</b> and patterns in <b>ground</b> <b>cover</b> transects were quantified by wavelet entropy. An experiment was conducted with eight control (C) swards, eight naturally damaged (ND) swards and twelve artificially damaged (AD) swards. Swards were established in containers and spectroscopic images were recorded twice weekly. Seasonal DM yield was linearly related to a combination of means of <b>ground</b> <b>cover</b> and index of reflection intensity (r 2 = 0. 93). Spatial variation of tiller density was larger for AD and ND swards than for C swards. Values of the spatial standard deviation of <b>ground</b> <b>cover</b> and wavelet entropy were larger for AD and ND swards than for C swards. A single spatial standard deviation of <b>ground</b> <b>cover</b> value of 13 % discriminated ND and AD swards from C swards. Seasonal means of wavelet entropy (r 2 = 0. 70) and the spatial standard deviation of <b>ground</b> <b>cover</b> (r 2 = 0. 63) at harvest were linearly related to seasonal DM yield. It is concluded that imaging spectroscopy can be used for assessing seasonal DM yield and sward heterogeneity...|$|R
40|$|Suitable {{measures}} of grazing impacts on <b>ground</b> <b>cover,</b> that enable {{separation of the}} effects of climatic variations, are needed to inform land managers and policy makers across the arid rangelands of Australia. This work developed and tested a time-series, changepoint detection method for application to time series of vegetation fractional cover derived from Landsat data to identify irregular and episodic ground-cover growth cycles. Utilising the High Performance Computing power of the Google Cloud Compute Engine these cycles were segmented to distinguish grazing impacts from that of climate variability. A measure of grazing impact was developed using a multivariate technique to quantify the rate and degree of <b>ground</b> <b>cover</b> change. The method was successful in detecting both long term and short term growth cycles. Growth cycle detection was assessed against rainfall surplus measures indicating a relationship with high rainfall periods. During periods of <b>ground</b> <b>cover</b> decline, grazing utilisation was observed across four major grasslands. <b>Ground</b> <b>cover</b> change associated with grazing impacts was also assessed against field measurements of <b>ground</b> <b>cover</b> indicating a relationship between both field and remotely sensed <b>ground</b> <b>cover.</b> Cause and effects between grazing practices and <b>ground</b> <b>cover</b> resilience can now be explored in isolation to climatic drivers. This is important to the long term balance between <b>ground</b> <b>cover</b> utilisation and overall landscape function and resilience...|$|R
