1|17|Public
5000|$|<b>Graphic</b> <b>Noise</b> Poster Show - Museum of Design (Atlanta, GA) - Summer 2005 ...|$|E
50|$|Some {{of their}} boats have custom <b>graphics.</b> <b>Noise</b> {{complaints}} {{have been an}} issue for the company and industry.|$|R
50|$|Perlin {{noise is}} the {{earliest}} form of lattice noise, {{which has become}} very popular in computer <b>graphics.</b> Perlin <b>Noise</b> is not suited for simulation {{because it is not}} divergence-free.|$|R
50|$|Simplex {{noise is}} useful for {{computer}} <b>graphics</b> applications, where <b>noise</b> is usually computed over 2, 3, 4 or possibly 5 dimensions. For higher dimensions, n-spheres around n-simplex corners are not densely enough packed, reducing {{the support of the}} function and making it zero in large portions of space.|$|R
40|$|We {{present a}} system that classifies pixels in a {{document}} image according to marking type such as machine print, handwriting, and noise. A segmenter module first splits an input image into fragments, sometimes breaking connected components. Each fragment is then classified by an automatically trained multi-stage classifier that is fast and considers features of the fragment, {{as well as its}} neighborhood. Features relevant for discrimination are picked out automatically from among hundreds of measurements. Our system is trainable from example images in which each foreground pixel has a “ground-truth ” label. The main distinction of our system is the level of accuracy achieved in classifying fragments at sub-connected component level, rather than larger aggregate groups such as words or text-lines. We have trained this system to detect handwriting, machine print text, machine print <b>graphics,</b> and <b>noise.</b> ...|$|R
40|$|Digital {{images can}} be {{captured}} or generated {{by a variety of}} sources including digital cameras, scanners and computer graphics softwares. In many cases {{it is important to be}} able to determine the source of a digital image such as for criminal and forensic investigation. This paper presents methods for distinguishing between an image captured using a digital camera, a computer generated image and an image captured using a scanner. The method proposed here is based on the differences in the image generation processes used in these devices and is independent of the image content. The method is based on using features of the residual pattern noise that exist in images obtained from digital cameras and scanners. The residual noise present in computer generated images does not have structures similar to the pattern noise of cameras and scanners. The experiments show that a feature based approach using an SVM classifier gives high accuracy. Index Terms — image forensics, digital camera, scanners, computer <b>graphics,</b> pattern <b>noise...</b>|$|R
40|$|Noise {{functions}} are an essential building block for writing procedural shaders in 3 D computer <b>graphics.</b> The original <b>noise</b> function introduced by Ken Perlin {{is still the}} most popular because it is simple and fast, and many spectacular images have been made with it. Nevertheless, it is prone to problems with aliasing and detail loss. In this paper we analyze these problems and show that they are particularly severe when 3 D noise is used to texture a 2 D surface. We use the theory of wavelets to create a new class of simple and fast noise functions that avoid these problems...|$|R
50|$|More {{sophisticated}} models may feature dual cassette decks (often featuring high-speed dubbing, {{or sometimes}} even digitally controlled servo cassette mechanics), separate bass and treble level controls, five- or ten-band <b>graphic</b> equalizers, Dolby <b>noise</b> reduction, analog or LED sound level (VU) meters or even VFD, larger speakers, 'soft-touch' tape deck controls, multiple shortwave (SW) band reception with fine tuning, digital tuner with PLL, automatic song search functions for cassettes, line and/or phono inputs and outputs, microphone inputs, loudness switches, and detachable speakers, full function infrared remote control. A handful of models even featured an integrated vinyl record player, an 8-track tape player or a (typically black-and-white) television screen, although the basic radio/cassette models {{have historically been}} {{by far the most}} popular.|$|R
40|$|International audienceThe aim of {{the paper}} is to {{separate}} handwritten and printed text from a real document embedded with <b>noise,</b> <b>graphics</b> including annotations. Relying on run-length smoothing algorithm (RLSA), the extracted pseudo-lines and pseudo-words are used as basic blocks for classification. To handle this, a multi-class support vector machine (SVM) with Gaussian kernel performs a first labelling of each pseudo-word including the study of local neighbourhood. It then propagates the context between neighbours {{so that we can}} correct possible labelling errors. Considering running time complexity issue, we propose linear complexity methods where we use k-NN with constraint. When using a kd-tree, it is almost linearly proportional to the number of pseudo-words. The performance of our system is close to 90 %, even when very small learning dataset are used, where samples are basically composed of complex administrative documents...|$|R
40|$|Abstract. In this paper, {{we propose}} a novel type of {{explicit}} image fil-ter- guided filter. Derived {{from a local}} linear model, the guided filter generates the filtering output by considering the content of a guidance image, which can be the input image itself or another different image. The guided filter can perform as an edge-preserving smoothing operator like the popular bilateral filter [1], but has better behavior near the edges. It also has a theoretical connection with the matting Laplacian matrix [2], so is a more generic concept than a smoothing operator and can better utilize the structures in the guidance image. Moreover, the guid-ed filter has a fast and non-approximate linear-time algorithm, whose computational complexity is independent of the filtering kernel size. We demonstrate that the guided filter is both effective and efficient in {{a great variety of}} computer vision and computer <b>graphics</b> applications including <b>noise</b> reduction, detail smoothing/enhancement, HDR compression, im-age matting/feathering, haze removal, and joint upsampling. ...|$|R
40|$|Human facial {{gestures}} often exhibit such natural stochastic variations as {{how often}} the eyes blink, {{how often the}} eyebrows and the nose twitch, and how the head moves while speaking. The stochastic movements of facial features are key ingredients for generating convincing facial expressions. Although such small variations have been simulated using noise functions in many <b>graphics</b> applications, modulating <b>noise</b> functions to match natural variations induced from the affective states and the personality of characters is difficult and not intuitive. We present a technique for generating subtle expressive facial gestures (facial expressions and head motion) semiautomatically from motion capture data. Our approach is based on Markov random fields that are simulated in two levels. In the lower level, the coordinated movements of facial features are captured, parameterized, and transferred to synthetic faces using basis shapes. The upper level represents independent stochastic behavior of facial features. The experimental results show that our system generates expressive facial gestures synchronized with input speech...|$|R
