1|40|Public
50|$|Select Essays on the Moral Virtue, and on <b>Genius,</b> <b>Science,</b> and Taste, 1792.|$|E
2500|$|Dr. Victor von Doom's <b>genius</b> in <b>science</b> and {{technology}} has {{allowed him to}} build numerous devices to defeat his foes or gain more power. The most notable among them include: ...|$|R
5000|$|Festival Járy Cimrmana - Jára Cimrman {{and other}} art and <b>science</b> <b>geniuses</b> ...|$|R
50|$|Pickover {{is author}} of over forty books on such topics as {{computers}} and creativity, art, mathematics, black holes, human behavior and intelligence, time travel, alien life, Einstein, religion, dimethyltryptamine elves, parallel universes, the nature of <b>genius,</b> and <b>science</b> fiction.|$|R
5000|$|Professor Nishiyama (西山 博士 / Nishiyama-hakase) — Limit's father, a <b>genius</b> of cyborg <b>sciences.</b> He is {{voiced by}} Hidekatsu Shibata.|$|R
50|$|Girl <b>Genius,</b> {{although}} <b>science</b> fiction set {{in nineteenth-century}} Europe, {{does not have}} a firm emphasis on fantastic Industrial Revolution technology. Elements of other types of fiction are featured, including magic and mythical creatures, and the scientific element of it is less prominent. It also includes steampunk takes on contemporary sci-fi biology elements, like clockwork cyborgs, mass-produced Frankenstein-type creatures, and other monsters.|$|R
5000|$|... (voiced by Tara Strong) - A garden variety misfit, {{she gained}} her earth-based {{abilities}} from an experiment gone awry. This shy <b>science</b> <b>genius</b> cannot only control plants but accelerate their growth. Idealistic, Poison Ivy is {{an ally of}} plant-kind.|$|R
50|$|My Science Project is a 1985 American comedy {{science fiction}} film {{directed}} by Jonathan R. Betuel. Although not performing as well, the movie follows on heels of other teen-sci-fi/comedy films released the same year, such as Back to the Future, Real <b>Genius,</b> and Weird <b>Science.</b>|$|R
5000|$|... 'Here {{rests in}} his 85th year Thomas Cochrane Tenth Earl of Dundonald of Paisley and of Ochiltree in the Peerage of Scotland Marquess of Marenham in the Empire of Brazil GCB and Admiral of the Fleet who by his {{confidence}} and <b>genius</b> his <b>science</b> and extraordinary daring {{inspired by his}} heroic exertion {{in the cause of}} freedom and his splended services alike to his own country, Greece, Brazil, Chile and Peru achieved a name illustrious throughout the world for courage, patriotism and chivalry. Born Dec 14 1775. Died Oct 31 1860' ...|$|R
50|$|Erin Sanders {{was born}} in Santa Monica, California. At the age of 13, she began her {{starring}} role as Quinn Pensky on the Nickelodeon television series Zoey 101. Through all four seasons, Sanders played the resident <b>science</b> <b>genius</b> at Pacific Coast Academy and roommate of Zoey (portrayed by Jamie Lynn Spears).|$|R
5000|$|Nozomi is a third-year {{student and}} is the former {{president}} of FRC. She is younger than Yūki because she had skipped several grades abroad and returned to Japan. She is a <b>genius</b> girl at <b>science</b> and is good at making various inventions. She is a main character in the PSP game. Her nickname is [...] "Non-chan" [...] (のんちゃん).|$|R
5000|$|Jyukai - A kindly {{doctor and}} <b>science</b> <b>genius</b> who found and saved Hyakkimaru {{when he was}} just an infant, Jyukai was coming from China and he found the infant Hyakkimaru hanging on a beg in a river, Jyukai raised him and {{restored}} Hyakkimaru's missing body parts with prostheses and powerful weaponry like machine guns and canons.|$|R
