1|27|Public
5000|$|Goose (...) , duck (...) , turkey (...) {{and chicken}} (...) [...] Pheasant (...) , {{partridge}} (...) , <b>guinea</b> (...) , <b>pigeon</b> (...) and other game birds {{are not as}} common.|$|E
40|$|Scientific Opinion on {{the safety}} and {{efficacy}} of Bacillus subtilis PB 6 for chickens reared for laying, ducks for fattening, quails, pheasants, partridges, <b>guinea</b> fowl, <b>pigeons,</b> geese for fattening and ostriches 1 EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP) 2, 3 European Food Safety Authority (EFSA), Parma, Italy Bacillus subtilis PB 6 is the trade name for a feed additive based on viable spores of a strain of Bacillus subtilis. It is presently authorised for use with chickens for fattening at a minimum dose of 1 x 107 CFU/kg of complete feedingstuffs. The applicant is now seeking authorisation for use with chickens reared for laying, ducks for fattening, quails, pheasants, partridges, <b>guinea</b> fowl, <b>pigeons,</b> geese for fattening and ostriches. B. subtilis is a species that is considered by EFSA to be suitable for Qualified Presumption of Safety (QPS) approach to safety assessment. The sensitivity to antibiotics {{and the absence of}} toxigenic potential qualified the strain for QPS status. On this basis the product can be presumed safe for chickens reared for laying, ducks for fattening, quails, pheasants, partridges, <b>guinea</b> fowl, <b>pigeons,</b> geese for fattening, and ostriches, for consumers of products derived from thes...|$|R
25|$|Imperial pigeons {{are only}} found in {{southern}} Asia, Australia, New Guinea and the Pacific, a distribution from the Himalayas (D. badia) to Tahiti in the South Pacific (D. aurorare). The greatest diversity of birds is in New <b>Guinea.</b> Imperial <b>pigeons</b> are strong fliers, {{are capable of}} flight over oceans, and {{have been successful in}} colonising islands and archipelagos.|$|R
5000|$|... #Caption: Animal {{gestation}} calendar, 1917. Dates {{of service}} and date of birth for mares, cows, ewes, sow, and variation in gestation periods. Also gives gestation periods for ass, goat, dog, cat, rabbit, guinea pig, goose, turkey, duck, hen, <b>guinea</b> hen and <b>pigeon.</b>|$|R
40|$|VILLAGE POULTRY PRODUCTION IN THE SUDAN. A {{survey form}} {{provided}} by the Joint FAO/IAEA Division was used {{to collect data on}} village poultry production in the Sudan. The production system in the households was based on scavenging indigenous domestic chickens, at times accompanied by <b>pigeons,</b> <b>guinea</b> fowls, ducks or turkeys. The average flock size was 18. ...|$|R
40|$|The viruses of {{both the}} Eastern and and Western strains of equine {{encephalomyelitis}} have definitely been proven to be pathogenic to animals other than horses. White mice, <b>guinea</b> pigs, <b>pigeons,</b> white rats, rabbits, monkeys, sheep, goats, ducks, dogs, pigs, cats, hens and the European hedgehog have all been infected with Eastern strain, whereas Western strain virus failed to infect sheep, pigs, dogs, cats, and the European hedgehog, but it did produce the disease in the other animals mentioned. The infection was artificially started by means of intracerebral inoculation of infected brain tissue. Both strains {{have been found to}} produce encephalitis in man through natural infection...|$|R
40|$|International audienceSpecies-specific {{real-time}} polymerase {{chain reaction}} (PCR) assays using TaqMan probes {{have been developed for}} verifying the labeling of meat and commercial meat products from game birds including quail, pheasant, partridge, <b>guinea</b> fowl, <b>pigeon,</b> Eurasian woodcock and song thrush species. The method combines the use of species-specific primers and TaqMan probes that amplify small fragments (amplicons < 150 base pairs) of the mitochondrial 12 S rRNA gene, and an endogenous control primer pair that amplifies a 141 bp fragment of the nuclear 18 S rRNA gene from eukaryotic DNA. Analysis of experimental raw and heat-treated binary mixtures as well as of commercial meat products from the target species, demonstrated the suitability of the assay for the detection of the target DNAs...|$|R
50|$|Special dishes {{meant for}} festive occasion: There are some delicacies that are enjoyed {{occasionally}} by the wealthy people. These are: game birds, turtle, rabbit or venison cooked in spicy sauce. However, the rare (mostly migratory) birds and turtles and deer being protected by law, {{this is on}} the decline. However, <b>pigeons,</b> <b>guinea</b> fowls, Muscovy ducks, etc., are still eaten as hobby food by some peoples. Turtles are still sold at many places although this is illegal.|$|R
40|$|A radiochemical assay for {{glucokinase}} {{activity was}} developed for use in high-speed supernatants of liver. The maximum activities of glucokinase ranged from 0. 4 to 3. 8 mumol/min per g fresh wt. at 30 degrees C in some avian and mammalian livers, including <b>pigeon,</b> <b>guinea</b> pig and man, in which previous reports indicated zero activities. The reported maximum rates of hepatic glycogen synthesis in livers of rat and man in vivo {{are similar to the}} calculated glucokinase activities at 10 mM-glucose; therefore glucokinase activity should not limit glycogen synthesis from glucose...|$|R
50|$|Holst and Frølich {{established}} an animal model that allowed systematic study {{of factors that}} led to the ship-related dietary disease, as well as the preventive value of different substances. Substituting <b>guinea</b> pigs for <b>pigeons</b> (a traditional beriberi research model) as the experimental animal for these studies was a lucky coincidence, as the guinea pig was later shown to be among the very few mammals capable of showing scurvy-like symptoms, while pigeons, as seed-eating birds, were later shown to make their own vitamin C in the liver, and could not develop scurvy.|$|R
40|$|Initial {{velocities}} of energy-dependent Ca++ uptake {{were measured}} by stopped-flow and dual-wavelength techniques in mitochondria isolated from hearts of rats, <b>guinea</b> pigs, squirrels, <b>pigeons,</b> and frogs. The rate of Ca++ uptake by rat heart mitochondria was 0. 05 nmol/mg/s at 5 µM Ca++ and increased sigmoidally to 8 nmol/mg/s at 200 µM Ca++. A Hill {{plot of the}} data yields a straight line with slope n of 2, indicating a cooperativity for Ca++ transport in cardiac mitochondria. Comparable rates of Ca++ uptake and sigmoidal plots were obtained with mitochondria from other mammalian hearts. On the other hand, the rates of Ca++ uptake by frog heart mitochondria were higher at any Ca++ concentrations. The half-maximal rate of Ca++ transport was observed at 30, 60, 72, 87, 92 µM Ca++ for cardiac mitochondria from frog, squirrel, <b>pigeon,</b> <b>guinea</b> pig, and rat, respectively. The sigmoidicity and the high apparent Km render mitochondrial Ca++ uptake slow below 10 µM. At these concentrations the rate of Ca++ uptake by cardiac mitochondria in vitro {{and the amount of}} mitochondria present in the heart are not consistent with the amount of Ca++ to be sequestered in vivo during heart relaxation. Therefore, it appears that, at least in mammalian hearts, the energy-linked transport of Ca++ by mitochondria is inadequate for regulating the beat-to-beat Ca++ cycle. The results obtained and the proposed cooperativity for mitochondrial Ca++ uptake are discussed in terms of physiological regulation of intracellular Ca++ homeostasis in cardiac cells...|$|R
