1|461|Public
5000|$|Earth or <b>ground</b> <b>wire</b> <b>attachment,</b> US Patent No. 762,341, dated June 14, 1904 ...|$|E
40|$|The {{expanded}} use of {{longwall mining}} systems has led, in particular, to different installation arrangements and combinations of <b>ground</b> <b>wire</b> monitors and <b>ground</b> <b>wire</b> devices {{for the purpose}} of monitoring the grounding circuit-These installation arrangements and combinations of <b>ground</b> <b>wire</b> monitors and <b>ground</b> <b>wire</b> devices were not evaluated at the time MSHA originally tested and accepted the <b>ground</b> <b>wire</b> monitor. Although these installation schemes differ from the accepted scheme, they can provide equivalent protection when their operation is coordinated with other electrical power system components. For this reason MSHA’s Approval and Certification Center developed an application procedure to evaluate these installation arrangements. To differentiate the procedure from the standard <b>ground</b> <b>wire</b> monitor or <b>ground</b> <b>wire</b> device application procedure, MSHA has identified this application procedure as the Monitor and Power System (MAPS) Program. This program includes tests and analyses to evaluate and assess various arrangements and combinations of proposed <b>ground</b> <b>wire</b> monitor and <b>ground</b> <b>wire</b> device installations...|$|R
40|$|<b>Ground</b> <b>wire</b> {{is one of}} the lighning {{protection}} {{instrument used}} in medium voltage distribution network with the intention to reduce interference due to lightning strikes. On the feeder Serangan the <b>ground</b> <b>wire</b> put 4 – 5 wicket. To know effective gap of <b>ground</b> <b>wire</b> is put on the feeder Serangan then used effectiveness <b>ground</b> <b>wire</b> parameters and total of disorder by lightning strikes directly or indirectly. From the analysis is obtained the effective gap on scenario 4 by 3 – 4 wicket. Choosing scenario 4 is as effective gap because seen by economic aspect, as longest gap point put of <b>ground</b> <b>wire</b> then the cost needed to use material and the installation of <b>ground</b> <b>wire</b> will be cheaper.  </p...|$|R
40|$|Abstract: In this paper, {{the use of}} {{overhead}} <b>ground</b> <b>wires</b> as {{tension line}} of bearing cable. Using ANSYS and ADAMAS software ，To establish the dynamic model of power transmission line tension stringing，Considering the force of tension stringing process overhead bearing cable of <b>ground</b> <b>wire.</b> The study of tension stringing of transmission line show that the overhead <b>ground</b> <b>wire</b> as bearing cable of <b>ground</b> <b>wire</b> can {{meet the requirements of}} the tension line...|$|R
30|$|Ligature <b>wire</b> <b>attachment</b> is {{a simple}} {{inexpensive}} attachment that can be custom made without any need for additional inventory, besides being more comfortable to patients.|$|R
5000|$|A <b>grounded</b> <b>wire</b> is {{sometimes}} strung along {{the tops of}} the towers to provide lightning protection. An optical <b>ground</b> <b>wire</b> is a more advanced version with embedded optical fibers for communication. Overhead wire markers can be mounted on the <b>ground</b> <b>wire</b> to meet International Civil Aviation Organization recommendations.Some markers include flashing lamps for night-time warning.|$|R
40|$|Abstract — In {{this paper}} inter metal {{capacitors}} of <b>ground</b> <b>wires</b> are considered, {{for the first}} time in Elmore delay calculations of clock distribution interconnect networks. Analytical models for capacitance calculation of inter metal wires which are exponentially tapered are presented. In addition, the tapering of the <b>ground</b> <b>wire</b> for reducing this delay is proposed. The results show that by a exponentially tapering of the <b>ground</b> <b>wires</b> in the clock distribution networks, a 17 % reduction in the Elmore delay of interconnects is achieved in compare with not tapering <b>ground</b> <b>wires...</b>|$|R
40|$|The {{purpose of}} this paper is to analize the effect of {{indirect}} lightning strikes on the 13. 8 kV distribution network at BOB PT. BSP - Pertamina Hulu Bandar Pedada by using ATP-EMTP. Maximum induced voltage of indirect lightning is computed by using Rusck theory, then indirect lightning strikes are simulated by using ATP-EMTP. In this paper, five conditions are simulated. The first condition is the distribution line without the indirect lightning strikes with 15 kV lightning arresters and the <b>ground</b> <b>wire</b> is installed, the second condition is the indirect lightning strikes without the 15 kV lightning arresters and <b>ground</b> <b>wire,</b> the third condition is indirect lightning strikes with the <b>ground</b> <b>wire</b> is installed and without the 15 kV lightning arrester, the fourth condition is the indirect lightning strikes with 15 kV lightning arresters are installed and without the <b>ground</b> <b>wire,</b> and the fifth condition is the indirect lightning strikes with the 15 kV lightning arresters and <b>ground</b> <b>wire</b> is installed. The simulation results show that the <b>ground</b> <b>wire</b> is able to reduce the effect of the induced voltage from the indirect lightning strikes, the 15 kV lightning arresters are able to reduce the effect of the induced voltage from the indirect lightning strikes, and the best results are obtained when the <b>ground</b> <b>wire</b> and the 15 kV lightning arresters are installed on the distribution line...|$|R
40|$|Abstract: Considering {{the current}} {{situation}} that <b>ground</b> <b>wire</b> is short of automated management, a temporary <b>ground</b> <b>wire</b> monitoring system is designed in this paper. In this system, RC 522 RFID reader chip is used to achieve reliable information collection {{of the state of}} <b>ground</b> <b>wire</b> and ZigBee chip CC 2530 is used to achieve accurate information transmission. A comprehensive test is conducted. Against the interference, obstacles blocking and network congestion issues in a substation, proposes to increase routing nodes, adjust letter spacing, etc. to improve communication reliability. The system can achieve real-time monitoring of the status of temporary <b>ground</b> <b>wire</b> in a substation job site，with high reliability and good effect，which is worth being extended. ...|$|R
5000|$|Cheater plugs were {{previously}} available {{with a short}} flexible <b>grounding</b> <b>wire</b> rather than a screw tab. This allows use of the second duplex outlet {{that does not have}} a faceplate screw in the correct location for the screw tab. The <b>grounding</b> <b>wire</b> would be wrapped around the adapter to reach the faceplate screw. However, this ground-wire style of cheater plug was discontinued when it was noted that a loose unattached <b>grounding</b> <b>wire</b> could by accident become inserted into the [...] "hot" [...] blade socket of a nearby outlet, potentially leading to electrocution.|$|R
5000|$|Electrical wiring - AC power phase, neutral, and <b>grounding</b> <b>wires</b> ...|$|R
