1|58|Public
5000|$|<b>Hawaiian</b> <b>ridge</b> <b>scabbardfish,</b> L. calcar Parin & Mikhailin, 1982 ...|$|E
50|$|The largest {{internal}} tides {{are generated}} at steep, midocean topography {{such as the}} <b>Hawaiian</b> <b>Ridge,</b> Tahiti, the Macquarie Ridge, and submarine ridges in the Luzon Strait.|$|R
50|$|Daikakuji Seamount {{has some}} well {{developed}} rift zones oriented towards the Emperor {{portion of the}} chain, whereas the younger, secondary cone has rift flanks {{in the direction of}} the <b>Hawaiian</b> <b>ridge.</b>|$|R
5000|$|... #Caption: Elevation of the Pacific seafloor, {{showing the}} Hawaiian-Emperor {{seamount}} chain, including Detroit Seamount near the top. The sharp [...] "V" [...] separates the <b>Hawaiian</b> <b>Ridge</b> {{from the older}} Emperor Seamount portion of the chain.|$|R
40|$|A closely spaced hydrographic section from Oabu, Hawaii to 28 °N, 152 °W {{and then}} north along 152 °W shows strong eddy or current {{features}} with dynamic height signatures of about 30 dyn cm across 150 km and associated geostrophic surface velocities of approximately 60 cm s⁻¹. Two such features are found between Hawaii and the Subtropical Front, {{which is located}} at 32 °N. Similar features have been observed {{on a number of}} other hydrographic and XBT sections perpendicular to the <b>Hawaiian</b> <b>Ridge.</b> It is hypothesized that the features are semipermanent, are due to the presence of the Ridge, and are related to the North <b>Hawaiian</b> <b>Ridge</b> Current of Mysak and Magaard...|$|R
40|$|Available surface drifter {{data are}} {{analyzed}} {{to determine the}} characteristics of the North <b>Hawaiian</b> <b>Ridge</b> Current (NHRC) and its relation to the ocean circulation around the Hawaiian waters. The NHRC is found to exist as a mean entity along the coasts of the Hawaiian Islands. It originates as a northern branch of westward moving interior flow and flows coherently along the islands at an average speed of 0. 10 – 0. 15 m s 21. The NHRC veers westward at the northern tip of the Hawaiian Islands, and its subsequent path is not influenced by the presence of the submerged <b>Hawaiian</b> <b>Ridge.</b> This finding does not support the theory that the NHRC is forced by westward propagating, baroclinic Rossby waves reflecting off the <b>Hawaiian</b> <b>Ridge.</b> Using a 2 -layer reduced gravity model of the North Pacific, it is shown that the mean NHRC is due primarily to the mean rather than the time-varying wind forcing. The NHRC exists due to the imbalance between the interior Sverdrup transport and the net southward transport, constrained by the presence of the Hawaiian Islands. The path and transport of the observed NHRC are found to be consistent with the flow pattern proposed by this theory. 1...|$|R
5000|$|... #Caption: Elevation of the Pacific seafloor, {{showing the}} Hawaiian-Emperor {{seamount}} chain, including Koko Guyot above the prominent bend. The sharp [...] "V" [...] separates the <b>Hawaiian</b> <b>Ridge</b> {{from the older}} Emperor Seamount portion of the chain. Koko is {{the largest of the}} seamounts directly north of the v-bend.|$|R
40|$|Iridoteuthis iris (Berry, 1909) was {{originally}} described from a unique specimen {{collected in the}} main Hawaiian Islands, but the holotype is no longer extant. New material was collected from the southern Emperor-northern <b>Hawaiian</b> <b>Ridge</b> seamounts, extending the known range of I. iris by about 3200 km. The new samples are described, including the first description of adults...|$|R
5000|$|... #Caption: Elevation of the Pacific seafloor, {{showing the}} Hawaiian-Emperor {{seamount}} chain, including Yuryaku Seamount a bit {{off of the}} V. The sharp [...] "V" [...] separates the <b>Hawaiian</b> <b>Ridge</b> from the older Emperor Seamount portion of the chain. Yuryaku is the center/northernmost and most elongated of the small grouping of three fairly small volcanoes near the bend.|$|R
40|$|Long {{time series}} of sea level from tide gauges {{along the north}} side of the <b>Hawaiian</b> <b>Ridge</b> and shorter series of dynamic heights {{inferred}} from inverted echo sounders moored just north of the main Hawaiian Islands are examined for evidence of internal tides at the M- 2 frequency. We find that the amplitudes and phases of the M- 2 tidal components have low-frequency variability, which is consistent with a superposition of an internal tide with the larger barotropic tide. Further, the low-frequency variability is correlated with low-frequency changes in the depth of the pycnocline, which suggests a simple physical mechanism to account for the low-frequency modulations in the internal tidal amplitude. These modulations are coherent for long distances along the <b>Hawaiian</b> <b>Ridge,</b> indicating a coherent generation of the internal tide that is consistent with acoustic observations in the North Pacific and with recent analyses of sea surface heights from satellite altimetry...|$|R
40|$|Abstract. Objective maps of M 2 internal-tide {{variability}} {{are derived}} from TOPEX/POSEIDON altimeter data obtained near the <b>Hawaiian</b> <b>Ridge.</b> An estimate of the wavenumber spectrum shows that the radiation is dominated by a few spectral peaks at wavenumbers consistent with the theoretically expected value for mode- 1 internal tides. The data are not always consistent with the traveling wave model. Because the spacing of the altimeter tracks {{is larger than the}} internal-tide wavelength, the objective map underestimates the energy between the altimeter tracks. With this caveat, the maps are used to determine that 2. 6 GW of power is radiated from a 1700 km section of the <b>Hawaiian</b> <b>Ridge.</b> Time series of hydrographic data obtained at the HOT site north of Oahu, Hawaii show that changes in mode- 1 phase speed, caused by variations in stratification, have only a small effect on the propagation of the mode- 1 internal tides...|$|R
