1|4187|Public
5000|$|... #Caption: A <b>date</b> <b>due</b> <b>slip</b> showing {{checkout}} {{and return}} activity from 1983 to 1996 ...|$|E
40|$|There is {{potential}} for library <b>date</b> <b>due</b> <b>slips</b> to contain personal information (e. g., names) that compromises patron privacy. A {{survey was conducted}} of fifty-five Canadian English language public library systems to determine what sort of information is being printed on <b>date</b> <b>due</b> <b>slips.</b> While {{it was discovered that}} personal information was sometimes included, it was most often {{in the form of the}} borrower’s library card number, an almost anonymous identifier. The most commonly included information had to do with library services such as the name of the library, the titles of items borrowed, and the <b>due</b> <b>date.</b> Respondents cited patron privacy as the main reason for not including personal patron information. It appears that Canadian public libraries are aware of the importance of maintaining confidentiality in regard to library user records, at least in terms of the content of <b>date</b> <b>due</b> <b>slips...</b>|$|R
50|$|This section {{takes care}} of the {{technical}} processing of newly acquired resources such as stamping of ownership, accessioning, labeling of books, providing book pockets and <b>date</b> <b>due</b> <b>slips</b> and maintaining bibliographic records of library collection.|$|R
50|$|Simpson {{was laid}} down at Bath Iron Works, Bath, Maine, on 27 February 1984, {{launched}} on 31 August 1984 sponsored by Mrs. Grace Fowles-Simpson widow of Rodger W. Simpson and commissioned on 21 September 1985 in Newport, Rhode Island, with Cmdr. H. Wyman Howard Jr. in command. The ship was delivered 13 September 1985. Bath Iron Works plans called for delivery to occur 9 August 1985, but that <b>date</b> <b>slipped</b> <b>due</b> to an extended strike at BIW that began 30 June 1985. Simpson was homeported at Naval Station Newport until switching to Naval Station Norfolk on 31 March 1994. Simpson moved to Naval Station Mayport in July 2001.|$|R
40|$|This {{research}} {{examines the}} performance of <b>due</b> <b>date,</b> resource allocation, project release, and activity scheduling rules in a multiproject environment. The results show that workload sensitive <b>due</b> <b>date</b> rules always provide better <b>due</b> <b>date</b> estimates than workload insensitive <b>due</b> <b>date</b> rules. In contrast, {{the performance of}} <b>due</b> <b>date</b> sensitive resource allocation rules is severely affected by <b>due</b> <b>date</b> nervousness. When <b>due</b> <b>date</b> nervousness is not mitigated, the <b>due</b> <b>date</b> insensitive First In System First Served (FISFS) resource allocation rule performs better than the <b>due</b> <b>date</b> sensitive resource allocation rules. Project release rules can, however, mitigate the effect of <b>due</b> <b>date</b> nervousness. Using a simple project release rule, {{the results show that}} the <b>due</b> <b>date</b> sensitive Minimum Project <b>Due</b> <b>Date</b> resource allocation rule performs better than FISFS and two other <b>due</b> <b>date</b> sensitive resource allocation rules in many project environments...|$|R
5000|$|... Extra (sextile) day {{inserted}} before <b>date,</b> <b>due</b> {{to previous}} leap year ...|$|R
5000|$|Dates with {{a strike}} through {{the text is}} a {{cancellation}} <b>date,</b> <b>due</b> to illness.|$|R
5000|$|While {{the band}} {{announced}} the [...] "Turnstyle Tour" [...] {{to support the}} album, the tour was canceled on May 13, just {{a week before the}} album's projected release <b>date,</b> <b>due</b> to circumstances that were beyond their control. After a week of silence and no promotion, the album release was quietly delayed indefinitely, without a new <b>date,</b> <b>due</b> to undisclosed legal issues.|$|R
50|$|Note 1: The {{match was}} {{postponed}} to a later <b>date</b> <b>due</b> to bad pitch conditions.|$|R
40|$|In this paper, we {{consider}} <b>due</b> <b>date</b> assignment and single-machine scheduling problems with learning effect and controllable processing times. The actual processing {{time of a}} job depends on its position in a sequence and related resource consumption which contains linear resource consumption or convex resource consumption. The <b>due</b> <b>date</b> assignment methods studied include the common <b>due</b> <b>date,</b> the slack <b>due</b> <b>date</b> and the unrestricted <b>due</b> <b>date.</b> For each {{combination of the two}} resource consumption function and three <b>due</b> <b>date</b> assignment methods, we provide a polynomial-time algorithm to find optimal the job sequence, <b>due</b> <b>date</b> values and resource allocation that minimize an objective function which includes earliness tardiness, <b>due</b> <b>date</b> assignment, the total completion times and total resource consumption...|$|R
25|$|In {{the fall}} of 1991, Clayton was forced to miss several tour <b>dates</b> <b>due</b> to ill health.|$|R
50|$|Note 2: The {{match was}} {{postponed}} to a later <b>date</b> <b>due</b> to Maribor's UEFA Europa League campaign.|$|R
50|$|While the {{material}} is <b>dated</b> <b>due</b> to later discoveries, it was considered as up-to-date for the time.|$|R
50|$|In all, over 1,900,000 {{working days}} {{were lost in}} 2013/2014 <b>due</b> to <b>slips,</b> trips and falls.|$|R
5000|$|The {{contestant}} lost a challenge, but got to {{join the}} winning team on the <b>date</b> <b>due</b> to Ray J's choice.|$|R
50|$|If a plan is good, but poorly executed, then {{failure is}} <b>due</b> to <b>slips,</b> lapses, trips or fumbles.|$|R
5000|$|NOAA {{concluded}} there [...] "is {{no evidence}} for a detected change in tornado activity to <b>date</b> <b>due</b> to greenhouse gas emission increases." ...|$|R
5000|$|UK Tour (with Yashin and My Passion - October-November 2011) Black Veil Brides {{missed a}} couple <b>dates</b> <b>due</b> to Biersack's broken nose.|$|R
50|$|For the 2014 tour, Aresti {{would not}} {{participate}} until an unknown <b>date</b> <b>due</b> to personal activities {{which would not}} permit him to tour.|$|R
