1|1471|Public
50|$|Post Office {{is located}} in <b>down</b> <b>town</b> <b>Beirut,</b> Lebanon.|$|E
5000|$|... #Caption: Inside Patchi's <b>Down</b> <b>Town</b> Boutique in <b>Beirut,</b> Lebanon ...|$|R
50|$|Once {{a medieval}} walled port <b>town,</b> <b>Beirut</b> {{experienced}} rapid growth {{during the second}} half of the 19th century; the overcrowded city developed beyond its walls and the affluent citizens started to build their villas on the slopes of the surrounding hills, namely Ashrafieh, Qnatari and Musaytbeh.|$|R
50|$|The <b>down</b> <b>town</b> Charity Trust was formed, by the <b>down</b> <b>town</b> {{hospital}} ltd., under a Deed of Trust, executed on 29 December 1997, The urge to {{do something}} for the poor and deprived section of the society {{led to the formation of}} <b>down</b> <b>town</b> Charity Trust.Apart from doctors, the members of the Trust include Engineers, Educationists and other professionals from various walks of life. The <b>down</b> <b>town</b> Charity Trust is promoted by <b>down</b> <b>town</b> hospital ltd., the first corporate multi speciality hospital in North Eastern India. The <b>down</b> <b>town</b> Charity Trust is governed by a Board of Trustees.|$|R
40|$|Ed. 2 -GSGS 1958. Map of Beirut {{and its environs}} showing transportation, {{municipal}} boundaries, vegetation, water features, religious {{sites and}} buildings. Relief shown by contours, hachures and spot heights.; Also available online [URL] <b>Beirut</b> <b>town</b> [...] <b>Beirut</b> east [...] Beirut south west [...] Beirut south east...|$|R
50|$|The {{university}} {{was established by}} the <b>down</b> <b>town</b> Charity Trust, which is promoted by <b>Down</b> <b>Town</b> Hospital Limited. The group has been in education and training since 1993.|$|R
5000|$|<b>Down</b> Town: A <b>town</b> that {{is located}} {{underneath}} the Land of Ev. It {{is described as}} much like the downtown places in the cities of the United States. The inhabitants of <b>Down</b> <b>Town</b> are obsessed with work and making money (even their clothes are made of money). Only the males are allowed {{on the streets of}} <b>Down</b> <b>Town</b> while the females stay at home. The Public Square of <b>Down</b> <b>Town</b> contains the Indus-Tree (a type of tree that grows all manners of tools for each profession).|$|R
50|$|Badre has {{directed}} several excavations in Lebanon (Tell el-Ghassil 1968-74, Sarafand 1969-74, Arqa 1978, <b>Beirut</b> <b>Town</b> Center 1993-99, <b>Beirut</b> St. George Cathedral 1995-2000, Kaftoun Monastery Chekka 2004-present, Tyre 2012), Syria (Ugarit 1973, Ibn-Hani 1977-79, Tell Kazel 1985-2010), Yemen (Hadramout 1979-83) and Dubai (Trucial States 1969-70).|$|R
25|$|On July 15, Israel {{attacked}} commercial {{ports in}} the <b>towns</b> of <b>Beirut</b> and Tripoli, {{as well as}} ports in Jounieh and Amsheet, two predominantly Christian towns.|$|R
40|$|Photograph of buyer at May Co., Southern California, 1940. "'Gadget lane'; Cameo Cleanser; as Selected, Tested, Pictured by Katherine Kitchener, Discovered <b>Down</b> <b>Town</b> And Tested for you by Katherine Kitchener, Cameo Answers a Housewife's Prayer, In Los Angeles <b>Down</b> <b>Town</b> Shopping News" [...] signage in store...|$|R
5000|$|... "Going <b>Down</b> <b>Town</b> Tonight" [...] (Re-recorded version) (G Johnson) (4.20) ...|$|R
5000|$|... 2005 LP/CD Reiter In (<b>Down</b> <b>Town</b> Records /Red Parlour Records) ...|$|R
50|$|The Memorandum of Understanding (MoU) was {{executed}} on 29 July 2015 between Assam <b>down</b> <b>town</b> University (AdtU) and Council for Technical Education and Vocational Training (CTEVT). The main {{objective of this}} MoU is for collaboration on academic and students activities between Assam <b>down</b> <b>town</b> University & Council for Technical Education and Vocational Training.|$|R
5000|$|... "There'll Always Be Sunshine" [...] (1971, <b>Down</b> <b>Town)</b> (as Boy Friday) ...|$|R
5000|$|Rambler - Walker (A.K.A. Clown <b>Down</b> <b>Town)</b> (Suntek) - 1983 {046} ...|$|R
5000|$|Trondheim Maker Faire on August 29-30, 2014 <b>down</b> <b>town</b> Trondheim, Norway.|$|R
5000|$|... "The Pliers" [...] (1971, <b>Down</b> <b>Town)</b> (as Dandy & The Musical Doctors) ...|$|R
5000|$|... "Morning Side of the Mountain" [...] (1969) <b>Down</b> <b>Town</b> (Dandy & Audrey) ...|$|R
5000|$|... "People Get Ready (Do Rocksteady)" [...] (1969, <b>Down</b> <b>Town)</b> (as The Rudies) ...|$|R
5000|$|... #Caption: A {{view of the}} Assam <b>down</b> <b>town</b> University {{from another}} hill-top.|$|R
50|$|One of {{the most}} famous University of south Asia.The Memorandum of Understanding (MoU) was {{executed}} on 29 July 2015 between Assam <b>down</b> <b>town</b> University (AdtU) and Tribhuvan University (TU), the central University of Nepal. The main objective of this MoU is for collaboration on academic and research activities between Assam <b>down</b> <b>town</b> University & Tribhuvan University.|$|R
5000|$|Bruce Lanoil as Streetsquashed Raccoon, a roadkill raccoon {{that lives}} in <b>Down</b> <b>Town.</b>|$|R
5000|$|... "Music So Good" [...] (1970, <b>Down</b> <b>Town)</b> (as Boy Friday & the Groovers) ...|$|R
5000|$|Debi Durst as Streetsquashed Snake, a roadkill snake {{that lives}} in <b>Down</b> <b>Town.</b>|$|R
5000|$|Joe Ranft as Streetsquashed Rabbit, a roadkill rabbit {{that lives}} in <b>Down</b> <b>Town.</b>|$|R
5000|$|Tom Fisher as Community Service Cigarette Sweeper, a camel-like {{inhabitant}} of <b>Down</b> <b>Town.</b>|$|R
25|$|The Holy Suffragan Diocese of Central (<b>Down</b> <b>Town)</b> Cairo and of Heliopolis in Cairo.|$|R
60|$|In {{half an hour}} we were <b>down</b> <b>town</b> {{and across}} the ferry once more.|$|R
60|$|We soon {{reached the}} depot, and, leaving it, took an Elevated train <b>down</b> <b>town.</b>|$|R
50|$|The Holy Suffragan Diocese of Central (<b>Down</b> <b>Town)</b> Cairo and of Heliopolis in Cairo.|$|R
50|$|The {{university}} {{is located in}} the <b>down</b> <b>town</b> of Chapainawabganj, in Boro Indara Moor.|$|R
5000|$|... "Music Doctor Chapter I/II" [...] (1969, <b>Down</b> <b>Town)</b> (as Dandy & The Musical Doctors) ...|$|R
5000|$|... "Copy Your Rhythm" [...] (1968, <b>Down</b> <b>Town)</b> (as Dandy & Brother Dan All Stars) ...|$|R
5000|$|... "Everybody Feel Good" [...] (1969, <b>Down</b> <b>Town)</b> (as Dandy & The Downtown All Stars) ...|$|R
5000|$|... "Give Me Some More" [...] (1972, <b>Down</b> <b>Town)</b> (as Dandy & The Studio Sound) ...|$|R
5000|$|<b>Down</b> <b>Town</b> DX (ダウンタウンDX) - nationalcast from 10:00 p.m. until 10:54 p.m. every Thursday ...|$|R
