10000|10000|Public
5|$|In one of {{the scenes}} Anne Hathaway is <b>driving</b> <b>a</b> Porsche 911 Carrera Cabriolet.|$|E
5|$|In 1992, Howard began {{auto racing}} in Mobile, Alabama at the Mobile International Speedway. <b>Driving</b> <b>a</b> 1974 Chevrolet Malibu, Howard placed {{fifth in the}} 1992 season and won the 1993 season.|$|E
5|$|In 1995, Howard began <b>driving</b> <b>a</b> World Wrestling Federation-sponsored super late {{model in}} the All Pro Series in an attempt at cross promotion. After the World Wrestling Federation (WWF) withdrew its sponsorship, WWF {{chairman}} Vince McMahon gifted the equipment to Howard.|$|E
50|$|Bernd Schneider won both races, <b>driving</b> <b>an</b> Mercedes C-Class.|$|R
50|$|Gianni Morbidelli won both races, <b>driving</b> <b>an</b> Audi RS5.|$|R
50|$|Johan Kristoffersson won both races, <b>driving</b> <b>an</b> Audi RS5.|$|R
5|$|Rail and bus (motorcoach) {{accidents}} also {{account for}} fatalities, although public transportation {{is far less}} dangerous than <b>driving</b> <b>a</b> personal vehicle.|$|E
5|$|Cooper {{interviews}} Laurence Jacoby (Russ Tamblyn), {{a psychiatrist}} who had been seeing Laura. Jacoby {{does not wish to}} breach his confidentiality agreement, but admits that he struggled to understand Laura's problems. He also casts suspicion on a man <b>driving</b> <b>a</b> red Corvette—Leo Johnson (Eric Da Re).|$|E
5|$|Hudson {{moved to}} Bremerton, Washington, in 1993 where she joined a peace {{community}} involved in social justice issues. She became certified {{as a commercial}} driver and obtained a job <b>driving</b> <b>a</b> city bus in order to earn an income through which she both could support herself and meet her financial obligations to the congregation.|$|E
5000|$|Sleep-deprived <b>driving,</b> <b>an</b> {{aggravating}} factor in dangerous driving cases ...|$|R
5000|$|... #Caption: President Lyndon B. Johnson <b>driving</b> <b>an</b> Amphicar, 1965 ...|$|R
5000|$|Allan Moffat won the 1974 Sandown 250 <b>driving</b> <b>an</b> XB Falcon GT Hardtop. He {{also won}} the 1976 Australian Touring Car Championship <b>driving</b> <b>an</b> XB Falcon GT Hardtop and drove both an XB Falcon GT Hardtop and an XC Falcon GS Hardtop to win the 1977 Australian Touring Car Championship.|$|R
5|$|In June 1985, {{three months}} after the miners {{admitted}} defeat and ended their strike, Benn introduced the Miners' Amnesty (General Pardon) Bill into the Commons, which would have extended an amnesty to all miners imprisoned during the strike. This would have included two men convicted of murder (later reduced to manslaughter) for the killing of David Wilkie, a taxi driver <b>driving</b> <b>a</b> non-striking miner to work in South Wales during the strike.|$|E
5|$|In the gated {{community}} of Vista Verde, teenager Josh Comstock is riding his motorcycle, unaware {{that he is}} being followed by an unseen man <b>driving</b> <b>a</b> van. He is later stopped by the driver and pacified with a cattle prod. The following morning, Comstock's mother finds a corpse in his bed—but {{it is not that}} of her son.|$|E
5|$|Living in Ramgarh, the jovial Veeru {{and cynical}} Jai find {{themselves}} growing {{fond of the}} villagers. Veeru is attracted to Basanti (Hema Malini), a feisty, talkative young woman who makes her living by <b>driving</b> <b>a</b> horse-cart. Jai is drawn to Radha (Jaya Bhaduri), Thakur's reclusive, widowed daughter-in-law, who subtly returns his affections.|$|E
5000|$|... #Caption: Tony Quinn placed eighth <b>driving</b> <b>an</b> Aston Martin DBRS9 ...|$|R
5000|$|... #Caption: Two-time winner Stig Blomqvist <b>driving</b> <b>an</b> Audi Quattro S1.|$|R
5000|$|... #Caption: Kerry Baily placed fifth <b>driving</b> <b>an</b> Aston Martin DBR9 ...|$|R
