1|32|Public
5000|$|... #Subtitle level 3: DEQ - <b>Delivered</b> <b>Ex</b> <b>Quay</b> (named port of delivery) ...|$|E
5000|$|In {{the case}} of a CIF (Cost Insurance & Freight) or a DES (<b>Delivered</b> <b>Ex</b> Ship) sale, the energy {{transferred}} and invoiced for will be determined in the unloading port.|$|R
50|$|The {{light has}} gone out of our lives is a speech that was <b>delivered</b> <b>ex</b> tempore by Jawaharlal Nehru, the first Prime Minister of India, on January 30, 1948 {{following}} the assassination of Mahatma Gandhi earlier that evening. It is often cited {{as one of the great}} speeches in history.|$|R
50|$|In Australia, intermediate-level courts {{tend to have}} a heavy case load, and so many {{decisions}} are <b>delivered</b> <b>ex</b> tempore for reasons of time and necessity. Because many {{decisions are}} ex tempore, intermediate-level courts' decisions are not binding on inferior courts - that is to say, that in New South Wales, the District Court's decisions are not binding on the Local Court (see Valentine v Eid (1992) 27 NSWLR 615 and stare decisis).|$|R
5000|$|He was {{appointed}} successively deputy {{chair of the}} Surrey quarter sessions (1969-71), recorder (1972-78), circuit judge (1978) and common sergeant of the Old Bailey (1979). In 1981, he became a High Court judge of the Queen's Bench Division, an unusual step for a criminal law specialist. He frequently presided over criminal cases at the Court of Appeal. His Telegraph obituary states that he showed [...] "all the hallmarks of a good judge: humanity, understanding, patience, tolerance - and firmness when needed. A master of language, his judgments were elegantly phrased and word-perfect, even though they tended to be <b>delivered</b> <b>ex</b> tempore." ...|$|R
40|$|This paper {{considers}} {{situations in}} which a set of agents has {{to decide whether to}} carry out a given public project or its alternative when agents hold private information. I propose the use of the individually-rational and budget-balanced multibidding mechanism according to which the game to be played by participants has only one stage and simple rules as defined by Pérez-Castrillo and Wettstein (2002) under complete information. It can be applied {{in a wide range of}} situations, and its symmetric Bayes-Nash equilibria <b>deliver</b> <b>ex</b> post efficient outcomes if the number of players is two - for any underlying symmetric distribution characterizing uncertainty - or very large. ...|$|R
50|$|Jota Aviation {{recently}} got an Avro RJ100 <b>delivered,</b> registration G-JOTS, <b>ex</b> Brussels Airlines as OO-DWJ.|$|R
50|$|Where {{goods are}} <b>delivered</b> <b>ex</b> ship, {{the passing of}} risk does not occur until the ship has arrived at the named port of {{destination}} and the goods made available for unloading to the buyer. The seller pays the same freight and insurance costs as he would under a CIF arrangement. Unlike CFR and CIF terms, the seller has agreed to bear not just cost, but also Risk and Title up to the arrival of the vessel at the named port. Costs for unloading the goods and any duties, taxes, etc. are for the Buyer. A commonly used term in shipping bulk commodities, such as coal, grain, dry chemicals; and where the seller either owns or has chartered their own vessel.|$|R
6000|$|An aged {{shepherd}} {{whom they}} had used as a guide, or who had approached them from curiosity, listened with mouth agape to the dissertations on foss and vellum, ports dextra, sinistra, and decumana, which Sir John Clerk <b>delivered</b> <b>ex</b> cathedra, and his learned visitor listened with the deference to the dignity of a connoisseur on his own ground. But when the cicerone proceeded to point out a small hillock near {{the centre of the}} enclosure as the Praetorium, Corydon's patience could hold no longer, and, like Edie Ochiltree, he forgot all reverence, and broke in with nearly the same words--"Praetorium here, Praetorium there, I made the bourock mysell with a flaughter-spade." [...] The effect of this undeniable evidence on the two lettered sages may be left to the reader's imagination.|$|R
5000|$|The case of Legal Services Commissioner v Quinn 2008 QLPT 19 {{concerned}} a Discipline Application brought against a solicitor in the Legal Services Tribunal. The Application followed Quinn’s guilty plea and conviction for importing child pornography, possessing a child abuse computer game and possessing child abuse {{photographs in the}} District Court of Queensland in 2007. The Application was brought by the Legal Services Commission following the convictions. Justice Fryberg’s judgment was <b>delivered</b> <b>ex</b> tempore and was notably brief, since this was an extremely uncomplicated case for the tribunal. At the hearing, His Honour stated that: :I am satisfied that the respondent was guilty of professional misconduct. I recommend that {{the name of the}} respondent be removed from the local roll... I order that the respondent pay the applicant's costs of the application assessed as for a Supreme Court application.|$|R
40|$|It {{would not}} be a wild {{overestimate}} to suggest that around two-thirds of the early Christian texts which we now read were originally spoken, rather than written, and were intended for hearers, rather than readers. They sounded, resonated, and impressed themselves upon the mind and memory through the ear rather than the eye. A significant part of this literature consists of sermons, which were often <b>delivered</b> <b>ex</b> tempore and recorded by a secretary, perhaps for later revision. Similarly, the records of ecclesiastical conferences, or public debates with heretics, are written transcriptions of originally spoken words. We also possess catechetical addresses, perhaps prepared by the bishop in advance, but almost certainly delivered directly to those who were being inducted into the faith prior to baptism. Other texts were perhaps originally written down, but even they are records of what was intended to be spoken aloud and heard by others: liturgical texts, creedal statements, prayers, poems, hymns, and, to an extent, letters...|$|R
