1|62|Public
50|$|Runners up: Toby Cooke (£5,000), <b>Jack</b> <b>Frame</b> (£2,500) and Alastair Strachan (£2,500).|$|E
50|$|Microtunnel boring {{machines}} {{are very similar}} to tunnel {{boring machines}} (TBM) but on a smaller scale. These machines generally vary from 0.61 to 1.5 m but smaller and larger machines have existed. Usually the operator controls the machine from a control room {{on the surface of the}} ground. The Microtunneling machine and <b>jacking</b> <b>frame</b> are set up in a shaft at the required depth. The operator is given constant feedback about the machine’s location, orientation and hydraulic devices via a computer console or CCTV camera. Most machines also have video cameras set up to enable the operator to monitor activities in the jacking shaft and at the separation plant. The operator controls the MTBM and the <b>jacking</b> <b>frame</b> from the safety of the control room which is usually situated on the surface, next to the jacking shaft.|$|R
5000|$|In {{addition}} to the <b>jacking</b> <b>frame,</b> smaller <b>jacks,</b> called “interjacks”, may be inserted between sections of tunnel liner. These push the two sections of liner apart. Friction on the liner sections between the interjack and the tunnel entrance helps to prevent the liner from sliding out backwards. So while the liner behind the interjack does not move, those sections {{in front of it}} receive additional pushing force.|$|R
60|$|Wade {{watched this}} {{meeting of the}} rivals and enemies with an {{attention}} powerfully stimulated by the penetrating scrutiny Burley laid upon them. Jack did not speak quickly. He looked hard into the tense face of Moore. Wade detected a vibration of <b>Jack's</b> <b>frame</b> and a gleam of eye that showed him not wholly in control of exultation and revenge. Fear had not struck him yet.|$|R
5000|$|In most microtunneling {{operations}} {{the machine}} is launched through an entry eye and pipes are pushed behind the machine. This is a process often called pipe jacking and is repeated until the Microtunneling machine reaches the reception shaft. As the machine advances, more tunnel liner or pipe is pushed from the starting shaft, through the entry eye. Thus, {{the speed of the}} advancing machine is controlled by the speed at which the pipe is inserted into the entry eye via the extension of the hydraulic rams in the <b>jacking</b> <b>frame.</b>|$|R
5000|$|In 2003, Planet-X {{sponsored}} the Trialskings team [...] who used Planet-X Pitbull and <b>Jack</b> Flash <b>frames.</b> These {{were present in}} Trialskings team videos, ridden by Danny Holroyd and other members.|$|R
6000|$|... "Help! Help!" [...] he repeated, {{as soon as}} {{he caught}} sight of <b>Jack's</b> face <b>framed</b> in the broken-out window. [...] "Get me out of here before the fire reaches me!" ...|$|R
50|$|Jack Bauer- The {{protagonist of}} 24, Jack goes {{undercover}} {{to take down}} the terrorist attack that threatens the country. A subplot involves <b>Jack</b> being <b>framed</b> by Frank Hensley for killing two Federal Marshals and helping a fugitive escape.|$|R
50|$|Jack Cunningham is an ex-cop who {{attempts}} to uncover a drug ring involving some corrupt former co-workers. When <b>Jack</b> is <b>framed</b> for murder, a young teenager decides to help Jack prove his innocence. Now the two must {{run from the}} law and the dirty cops.|$|R
25|$|Reversing {{the process}} and using the same <b>jacks</b> and steel <b>frames</b> to raise the {{structure}} , the company erected the Cooper bridge 30 days after the project began.|$|R
50|$|Former U.S. President David Palmer is {{assassinated in}} Los Angeles, California and <b>Jack</b> Bauer is <b>framed</b> for his murder. The assassins also plan to <b>frame</b> <b>Jack</b> {{for the murders}} of Tony Almeida, Michelle Dessler and Chloe O'Brian, all of whom helped Jack fake his death. Michelle is killed when her car explodes and Tony is {{critically}} injured in a secondary explosion but Jack manages to save Chloe. After investigating David Palmer's death, Jack goes looking for further information at LA/Ontario International Airport, which is subsequently attacked by terrorists.|$|R
50|$|Reversing {{the process}} and using the same <b>jacks</b> and steel <b>frames</b> to raise the {{structure}} 32 ft, the company erected the Cooper bridge 30 days after the project began.|$|R
50|$|Lieutenant Raven is Neverlin's subordinate, who <b>frames</b> <b>Jack</b> for theft by {{planting}} dry ice {{in place of}} cargo, and later for murder by killing two noncombatants. Himself killed by Draycos.|$|R
50|$|But {{even through}} all the misadventures they shared, Jack (as The Creeper) came to her rescue when she was trapped on the island hideout of Claw, The Supreme One. When <b>Jack</b> was <b>framed</b> for crimes {{committed}} by his arch nemesis Proteus, Vera {{was one of the}} few people to believe in his innocence, revealing that deep down she had romantic feelings for him even if she didn't show it on the outside.|$|R
50|$|After {{being told}} by his ranch boss Lynn that she plans to sell her ranch to finance a move east, <b>Jack</b> is <b>framed</b> for cattle {{rustling}} by Barnes, the man set to buy the ranch. With {{the help of his}} pal Buzz, Jack escapes the noose and the two set out to clear Jack's name. In addition, Jack is suspicious of the reason why Barnes wants to own Lynn's ranch in the first place.|$|R
50|$|Arthur Neverlin is the Chairman of the Board of Braxton Universis, an {{interstellar}} megacorporation, who arranges to <b>frame</b> <b>Jack</b> Morgan for theft, {{and later}} murder, {{in order to}} interest Virgil Morgan in Neverlin's own feud with Cornelius Braxton, his superior.|$|R
5000|$|The episode {{ends with}} Jack as the show's new convict. Wearing an eyepatch, Declan tells Heather {{that he still}} {{considers}} the show a moral outrage. When asked by Heather why he's participating, he says simply that he [...] "doesn't have a choice". Declan corners Jack near the dumpster as [...] "Ev" [...] is pleased with the final episode being aired. The episode fades to black as Declan uses the taser gun to finally get revenge on <b>Jack</b> for <b>framing</b> him.|$|R
50|$|Victor {{returned}} to Genoa City thanks to Nikki's help, {{even though he}} blamed her for Sabrina's death. Victor was severely upset with Adam's behavior and blackballed him from Newman Enterprises and all other corporations. Adam was angry and teamed up with <b>Jack</b> to <b>frame</b> Victor for murder. The plan nearly worked, forcing Victor to flee into exile where he was later rescued by Ashley Abbott. Adam {{was the only one}} punished for involvement in the crime and sent to prison, where his eyesight began to vanish.|$|R
2500|$|From late 2005, Friends of the Cerberus {{began to}} {{campaign}} for A$5.5 million in funding to stabilise the wreck site, first by installing additional supports for the deck and turrets (the latter weighing 200 tons each), then raising the ship off the seabed and placing her in an underwater cradle. To help attract funds from the Federal and Victorian governments, the wreck was nominated by Friends of the Cerberus and the National Trust for heritage listing, which was achieved on 14 December 2005; Cerberus was also listed on the Victorian Heritage Register and is included on the local Heritage Overlay. In July 2008, an application by Friends of the Cerberus for a grant of A$500,000 of federal funding was successful, with the National Trust of Victoria holding the funds on behalf of Friends of the Cerberus. The money was originally intended {{for the construction of}} a <b>jacking</b> <b>frame</b> and support cradle, but in late 2010, it was instead earmarked for structural preservation work on the monitor's gun turrets. By April 2012, the target of the funding had changed again, with plans to spend the grant on corrosion control of the wreck, along with [...] "interpretive devices" [...] on the nearby shore.|$|R
