1|57|Public
5000|$|<b>King</b> <b>Abdullah</b> <b>Univ</b> of Science & Technology (KAUST), Thuwal, Saudi Arabia ...|$|E
50|$|He {{was a close}} {{adviser to}} <b>king</b> <b>Abdullah</b> II.|$|R
5000|$|... #Caption: Seif Eddid AbuKish and prince, (later <b>king)</b> <b>Abdullah</b> I of Jordan ...|$|R
25|$|In November 2011, <b>king</b> <b>Abdullah</b> II of Jordan visited Ramallah for {{the first}} time since 2000.|$|R
50|$|On July 31, 2003, {{she went}} back to Jordan, where the <b>king,</b> <b>Abdullah,</b> granted her family asylum.|$|R
25|$|Prince Feisal bin Al Hussein of Jordan '81, son of King Hussein and Princess Muna al-Hussein, and {{the younger}} brother of <b>king</b> <b>Abdullah</b> II.|$|R
2500|$|King Abdullah Economic City (KAEC, [...] ) is a {{megaproject}} {{announced in}} 2005 by <b>king</b> <b>Abdullah</b> bin Abdulaziz Al Saud, the late king of Saudi Arabia.|$|R
50|$|Nearly all {{member states}} of the Organization of Islamic Cooperation {{took part in the}} summit. However, Syria was not invited to {{participate}} in the conference. Amongst the participants were host leader <b>king</b> <b>Abdullah,</b> Turkish president Abdullah Gul, Egyptian president Mohamed Morsi, Jordan's <b>king</b> <b>Abdullah,</b> Iranian president Mahmoud Ahmedinejad, Qatari emir Hamad bin Khalifa Al Thani, Yemeni president Abd Rabbuh Mansur Hadi, Palestine's Mahmoud Abbas, Malaysia's Najib Razak, Sudan's Omar al-Bashir, Afghanistan's Hamid Karzai, Tunisian president Moncef Marzouki, Pakistani president Asif Ali Zardari and Bangladesh's Zillur Rahman.|$|R
5000|$|Lisa Najeeb Halaby (Noor Al'Hussein) (b. 23 August 1951), {{the fourth}} wife and widow of King Hussein of Jordan and the {{stepmother}} {{of the current}} <b>king,</b> <b>Abdullah</b> II.|$|R
5000|$|King Abdullah Economic City (KAEC, مدينة الملك عبدالله الإقتصادية) is a {{megaproject}} {{announced in}} 2005 by <b>king</b> <b>Abdullah</b> bin Abdulaziz Al Saud, the then king of Saudi Arabia.|$|R
5000|$|In {{the days}} before Israeli independence, Naharayim was the {{proposed}} venue for two meetings between Golda Meir and <b>king</b> <b>Abdullah,</b> in {{an attempt by the}} Jewish leadership to head off Jordanian participation in the war.|$|R
50|$|Prince Sultan {{lived in}} Geneva. He {{was married to}} former <b>king</b> <b>Abdullah's</b> {{daughter}} princess Nora. She died in 1990 {{in a car accident}} near Riyadh airport. He has one son named Mohammed bin Sultan from another marriage.|$|R
50|$|The Commission {{spent over}} {{three months in}} Palestine, taking {{evidence}} from witnesses in 55 sessions. No Arabs came forward to submit evidence, though <b>king</b> <b>Abdullah</b> of Transjordan wrote to Woodhead giving support for partition as well as receiving the Commission in Amman.|$|R
50|$|In April 2008, the United Nations High Commissioner for Refugees {{estimated}} that the conflict had created 77,000 internally displaced persons (IDPs) in Sa'dah Governorate. By order of then <b>king</b> <b>Abdullah</b> of Saudi Arabia, the Saudis were to shelter and build 10,000 new homes for the war-displaced people.|$|R
2500|$|Islamist {{terrorist}} activity increased dramatically in 2003, with the Riyadh compound bombings and other attacks, which prompted {{the government to}} take much more stringent action against terrorism. [...] The <b>king</b> (<b>Abdullah)</b> has also taken steps to rein back {{the powers of the}} ulema, for instance transferring their control over girls' education to the Ministry of Education.|$|R
50|$|Hamad's is ill three-year-old {{daughter}} {{was sent to}} Jordan for medical treatment through the Israeli-controlled Erez Crossing. For initial medical treatment, she was first sent to Barzilai Hospital in the southern Israeli city of Ashkelon. Her subsequent transfer to Jordan was authorized by then Israeli defense minister Ehud Barak and the then IDF Chief of General Staff Gabi Ashkenazi, {{at the request of}} the Jordanian <b>king</b> <b>Abdullah.</b>|$|R
25|$|Throughout the conference, she, Cox and Lawrence worked tirelessly {{to promote}} the {{establishment}} of the countries of Transjordan and Iraq to be presided over by the <b>Kings</b> <b>Abdullah</b> and Faisal, sons of the instigator of the Arab Revolt against the Ottoman Empire (ca. 1915–1916), Hussein bin Ali, Sharif and Emir of Mecca. Until her death in Baghdad, she served in the Iraq British High Commission advisory group there.|$|R
50|$|Jordan and Iraq faced {{off at the}} Amman International Stadium, with a {{capacity}} 25,000 crowd packed into the Jordanian capital; the home fans were hoping to see their side retain the title, while Iraq were enjoying the occasion after a tournament which defied expectations. The Jordanian <b>king</b> <b>Abdullah</b> II, along with his wife, {{were present in the}} crowd, with the king donning a national team shirt to show his support.|$|R
50|$|Throughout the conference, she, Cox and Lawrence worked tirelessly {{to promote}} the {{establishment}} of the countries of Transjordan and Iraq to be presided over by the <b>Kings</b> <b>Abdullah</b> and Faisal, sons of the instigator of the Arab Revolt against the Ottoman Empire (ca. 1915-1916), Hussein bin Ali, Sharif and Emir of Mecca. Until her death in Baghdad, she served in the Iraq British High Commission advisory group there.|$|R
5000|$|Haydar al-Kuzbari (حيدر الكزبري, 1920 [...] - [...] 1996) was a Syrian {{lieutenant}} colonel {{who took part}} in the 1961 Syrian coup d'état that led to the dissolution of the United Arab Republic.He was once offered from Saudi Arabia to be the general of Saudi Arabia but rejected the offer and stayed as the general of Syria. He used to be best Freind's with <b>king</b> <b>Abdullah</b> of Saudi Arabia.|$|R
500|$|In 2006, it was {{reported}} that the mosque was in urgent need of repair and the then Saudi Arabian <b>king</b> <b>Abdullah,</b> offered to pay for it. The Imam said that he had received the offer directly from the Saudi authorities, but requested them to approach the Indian government. However, the Delhi High Court said that this matter had no [...] "legal sanctity" [...] giving no [...] "special equities" [...] to the Imam.|$|R
5000|$|Islamist {{terrorist}} activity increased dramatically in 2003, with the Riyadh compound bombings and other attacks, which prompted {{the government to}} take much more stringent action against terrorism. [...] The <b>king</b> (<b>Abdullah)</b> has also taken steps to rein back {{the powers of the}} ulema, for instance transferring their control over girls' education to the Ministry of Education.Some have complained that the king's dominance over the ulema has weakened the traditional Islamic legitimacy of Saudi throne.|$|R
5000|$|Rifaat al-Assad (born 1937). Formerly a {{powerful}} security chief and {{commander of the}} Defense Companies, {{who was responsible for}} the 1982 Hama massacre. After attempting a coup d'état in 1987, he went into exile in France and now lives in London. He is married with four wives: Amira al-Assad, a cousin [...] Sana' Makhlouf, from the family of Hafez's wife [...] Raja Barakat, from a wealthy Sunni Damascene family [...] Lina al-Khayer, sister in law of the late Saudi <b>king</b> <b>Abdullah</b> bin Abdulaziz [...] Rifaat has a number of children from these marriages, including: ...|$|R
50|$|Prince Abdulaziz bin Talal {{is married}} to Her Highness Princess Sora Saud, granddaughter of former Saudi <b>king,</b> King <b>Abdullah</b> bin Abdulaziz Al Saud, and cofounder of Sora By Loren Jewels.|$|R
40|$|This {{research}} {{is funded by}} the Deanship of Research in Zarqa University /Jordan This article aimed to explain the statistical models and parametric methods in order to estimate and evaluate the reliability and hazard rate functions of Weibull distribution to productivity machines of the Textile department-national establishment of the Jordanian textiles in the industrial <b>king</b> <b>Abdullah</b> II City. Also, the article explained the maximum likelihood estimation method to estimate the two parameters of the Weibull distribution. To achieve the study objectives, we depend on the machines work times for the period (1 / 11 / 2013 – 31 / 1 / 2014) ...|$|R
50|$|Jordan's GDP {{per capita}} rose by 351% in the 1970s, {{declined}} 30% in the 1980s, and rose 36% in the 1990s. Jordan {{is classified as}} an emerging market. After <b>king</b> <b>Abdullah</b> II's accession to the throne in 1999, liberal economic policies were introduced {{that resulted in a}} boom that continued through 2009. Jordan has a developed banking sector that attracts investors due to conservative bank policies that enabled the country to weather the global financial crisis of 2009. Jordan's economy has been growing {{at an annual rate of}} 7% after King Abdullah II's accession to throne in 1999 and up to 2008. As of 2015, Jordan boasts a GDP worth $37.6 USD bn, ranking it 89th worldwide.|$|R
50|$|Princess Basma bint Talal (born 11 May 1951) is {{the only}} {{daughter}} of King Talal and Queen Zein, sister of King Hussein and paternal aunt to the current <b>king,</b> King <b>Abdullah</b> II. Princess Basma is often considered the equivalent Princess Royal of Jordan.|$|R
5|$|In 1921, the Hashemite emir {{and later}} <b>king,</b> <b>Abdullah</b> I, {{designated}} Amman instead of al-Salt {{to be the}} capital of the newly created state, the Emirate of Transjordan, which became the Hashemite Kingdom of Jordan in 1950. Its function as {{the capital of the}} country attracted immigrants from different Levantine areas, particularly from al-Salt, a nearby city that had been the largest urban settlement east of the Jordan River at the time. The early settlers who came from Palestine were overwhelmingly from Nablus, from which many of al-Salt's inhabitants had originated. They were joined by other immigrants from Damascus. Amman later attracted people from {{the southern part of the}} country, particularly Al Karak and Madaba. The city's population was around 10,000 in the 1930s.|$|R
5000|$|The European Union {{opposed the}} plan, stating {{that it would}} not {{recognize}} any unilateral border changes that were not agreed upon in negotiations, although the EU External Relations Commissioner said that it was a [...] "courageous idea". Palestinian Authority president Mahmoud Abbas opposed the plan, and called on all Arab states to oppose it, stating that [...] "we are working to get Olmert's plan off the table". Jordanian <b>king</b> <b>Abdullah</b> II and Egyptian president Hosni Mubarak released a joint statement expressing opposition to [...] "unilateral Israeli steps" [...] and that [...] "every step should be carried out through direct negotiations with the Palestinian side and in accordance with the Road Map, which leads to a sustainable Palestinian state alongside Israel", following a meeting in Sharm el-Sheikh.|$|R
50|$|Ribal al-Assad {{was born}} in Damascus, the 13th of 16 siblings. He {{is the son of}} Rifaat al-Assad und his third wife Line Al-Khayer, sister in law of the late Saudi <b>king</b> <b>Abdullah</b> bin Abdulaziz, and is thus a member of the al-Assad family. His father, a younger brother of the late President Hafez Al-Assad, was a {{powerful}} security chief and commander of the Defense Companies, who was responsible for the 1982 Hama massacre. After attempting a coup d'état, he and his went into exile in France. Ribal, at the age of 9, and his family then moved to Paris, where he continued to live until the age of 16. At the age of 16, Ribal al-Assad began High School in New York and Houston, before joining university in Boston.|$|R
25|$|On 24 January 2007, Human Rights Watch sent an {{open letter}} to the Saudi <b>king</b> King <b>Abdullah</b> asking him to cease {{religious}} persecution of the Ahmadi faith in Saudi Arabia. Two letters were sent in November 2006 and February 2007 asking him to remove the travel ban on critics of the Saudi government.|$|R
50|$|In 1965 Hassan {{was named}} as Crown Prince of Jordan after the {{constitution}} was amended. He was frequently regent during his brother's absences from the country. During Hussein's final illness in January 1999, he {{was replaced by}} his nephew Abdullah only days before the <b>king</b> died. <b>Abdullah</b> subsequently inherited the throne of Jordan.|$|R
50|$|On 24 January 2007, Human Rights Watch sent an {{open letter}} to the Saudi <b>king</b> King <b>Abdullah</b> asking him to cease {{religious}} persecution of the Ahmadi faith in Saudi Arabia. Two letters were sent in November 2006 and February 2007 asking him to remove the travel ban on critics of the Saudi government.|$|R
5000|$|Mostly {{contained}} within modern-day Chad, Bagirmi emerged {{to the southeast}} of the Kanem-Bornu Empire under Mbang Birni Besse. He seems to have displaced the earlier Bulala. His state was subjugated by the Bornu Empire {{by the end of}} his reign, but continued as a partially independent tributary. The Bagirmi carried a tradition that they migrated from far to the east, which is supported by the resemblance of their language to various tribes on the White Nile. The fourth <b>king,</b> <b>Abdullah</b> (1568-1608), adopted Islam and converted the state into a sultanate, permitting the state to extend their authority over many pagan tribes in the area, including the area's Saras, Gaberi, Somrai, Gulla, Nduka, Nuba, and Sokoro. He and his successors continued to use the title [...] "mbang" [...] alongside that of [...] "sultan". A palace and court were eventually constructed in Bagirmi's capital Massenya.|$|R
