1|95|Public
5000|$|... #Caption: Billy Richardson, Johnny <b>Fry</b> (<b>top</b> right), Charles Cliff, Gus Cliff ...|$|E
5000|$|... #Caption: French <b>fries</b> <b>topped</b> with chili con carne {{and cheese}} sauce ...|$|R
5000|$|... poutine: a snack {{of french}} <b>fries</b> <b>topped</b> with cheese curds and hot gravy.|$|R
5000|$|Poutine, a Quebec dish, {{made with}} french <b>fries,</b> <b>topped</b> with brown gravy and curd cheese.|$|R
2500|$|Chile fries – (not to be {{confused}} with chili <b>fries)</b> <b>fries</b> <b>topped</b> with green chile peppers, common in the US state of New Mexico ...|$|R
2500|$|Poutine – a dish {{consisting}} of <b>fries</b> <b>topped</b> with cheese curds and light brown gravy and principally {{associated with the}} Canadian province of Québec ...|$|R
5000|$|Chile fries - (not to be {{confused}} with chili <b>fries)</b> <b>fries</b> <b>topped</b> with green chile peppers, common in the US state of New Mexico ...|$|R
5000|$|Poutine - a dish {{consisting}} of <b>fries</b> <b>topped</b> with cheese curds and light brown gravy and principally {{associated with the}} Canadian province of Québec ...|$|R
2500|$|In Prince Edward Island, {{a common}} dish is [...] "Fries with the Works" [...] which is <b>fries</b> <b>topped</b> with gravy, ground beef, and green peas.|$|R
25|$|Kapsalon is a Dutch food item {{consisting}} of <b>fries,</b> <b>topped</b> with döner or shawarma meat, grilled {{with a layer}} of Gouda cheese until melted, and then covered {{with a layer of}} dressed salad greens.|$|R
50|$|Cheese curds are a main {{ingredient}} in poutine, a dish consisting of french <b>fries</b> <b>topped</b> with fresh cheese curds, covered with brown gravy and sometimes additional ingredients. The dish originated in rural Quebec, Canada, {{in the late}} 1950s. Several Québécois communities {{claim to be the}} birthplace of poutine.|$|R
50|$|Chili cheese fries are cheese <b>fries</b> <b>topped</b> with Chili con carne. The {{cheese is}} usually either American or Cheddar. In Cincinnati, Ohio, {{they use their}} own Cincinnati chili for their Chili cheese fries at the local chili restaurants. In New Mexico, they use New Mexican Chile for their chili cheese fries, often adding chopped lettuce, tomato, and olives as garnish.|$|R
