1|6589|Public
5000|$|... #Subtitle level 3: <b>FCA</b> <b>-</b> <b>Free</b> <b>Carrier</b> (named {{place of}} delivery) ...|$|E
5000|$|<b>FCA</b> <b>-</b> Fellow, [...] Institute of Chartered Accountants in Australia (ICAA) ...|$|R
5000|$|Richard Bélanger, FCPA, <b>FCA</b> <b>-</b> Member of the Human Ressources and Corporate Governance Committee ...|$|R
5000|$|Sir James Birrell <b>FCA</b> <b>-</b> Chief Executive of the Halifax Building Society from 1988-93 ...|$|R
5000|$|A. Michel Lavigne, FCPA, <b>FCA</b> <b>-</b> Member of the Human Ressources and Corporate Governance Committee ...|$|R
5000|$|Ferrovia Centro-Atlântica S.A. <b>-</b> <b>FCA</b> <b>-</b> {{controlled}} by Companhia Vale do Rio Doce (CVRD) - gauge: ...|$|R
40|$|We have {{investigated}} {{the effect of the}} scattering of <b>free</b> <b>carriers</b> in semiconductors by both acoustic and optical phonons on the <b>free</b> <b>carrier</b> absorption in quantizing magnetic fields. We find that for electromagnetic radiation polarized either parallel or perpendicular to the magnetic field, the <b>free</b> <b>carrier</b> absorption is an oscillatory function of the magnetic field. The origin of this oscillatory magneto-absorption is due to phonon assisted transitions between the various Landau levels of the <b>free</b> <b>carriers</b> in quantizing magnetic fields. From the periods of the oscillations in the <b>free</b> <b>carrier</b> absorption, the frequencies of those phonons which interact most strongly with the <b>free</b> <b>carriers</b> can be found...|$|R
5000|$|Michael T. Boychuk, FCPA, <b>FCA</b> <b>-</b> Chair of the Audit Committee {{and member}} of the Risk Management Committee ...|$|R
40|$|A {{steady-state}} distribution of <b>free</b> <b>carriers</b> is {{generated in the}} silicon wafer by irradiating the 1064 -nm YAG laser beam. By measuring the behavior of refraction of another infrared laser beam caused by the generated <b>free</b> <b>carriers,</b> we derive {{the distribution of the}} generated <b>free</b> <b>carriers,</b> to finally obtain the diffusion length and lifetime of the <b>free</b> <b>carriers.</b> 電子デバイス/半導体電力変換 合同研究会, 九州工業大学　戸畑キャンパス, 2016 - 11 - 14 / 2016 - 11 - 1...|$|R
50|$|Brotzeit International Pte Ltd is a Member of the FLA (Franchise and Licensing Association) Singapore, and the <b>FCA</b> <b>-</b> Franchise Council of Australia.|$|R
50|$|The {{urban ecology}} and {{industrial}} ecology approaches inherently advocate <b>FCA</b> <b>—</b> treating {{the built environment}} {{as a sort of}} ecosystem to minimize its own wastes.|$|R
40|$|We {{discuss the}} impact of <b>free</b> <b>carriers</b> on the zone-center optical phonon {{frequency}} in germanium (Ge). By {{taking advantage of the}} Ge-on-insulator structure, we measured the Raman spectroscopy by applying back-gate bias. Phonon softening by accumulating holes in Ge film was clearly observed. This fact strongly suggests that the phonon softening in heavily-doped Ge is mainly attributed to the <b>free</b> <b>carrier</b> effect rather than the dopant atom counterpart. Furthermore, we propose that the <b>free</b> <b>carrier</b> effect on phonon softening is simply understandable from the viewpoint of covalent bonding modification by <b>free</b> <b>carriers...</b>|$|R
40|$|We {{studied the}} {{dynamics}} of photogenerated carriers in Cu 2 ZnSnS 4 (CZTS) single crystals using femtosecond transient reflectivity (TR) and optical pump-THz probe transient absorption (THz-TA) spectroscopy. The TR and THz-TA decay dynamics consistently showed that <b>free</b> <b>carriers</b> have long lifetimes of up to a few nanoseconds. The excitation-photon-energy-dependent TR measurements revealed a slow picosecond energy relaxation of <b>free</b> <b>carriers</b> to the band edge in CZTS. The relaxation and recombination dynamics of <b>free</b> <b>carriers</b> were affected by nonradiative recombinations at the surface. Our results revealed a global feature of energy relaxation and recombination processes of <b>free</b> <b>carriers</b> in CZTS single crystals...|$|R
40|$|The {{dynamics}} of <b>free</b> <b>carriers</b> in polycrystalline CuIn{ 1 −x}Ga{x}Se{ 2 } (CIGS) thin films were studied using picosecond time-resolved photoluminescence (PL) and femtosecond transient-absorption (TA) measurements. The PL spectrum and the TA decay component {{due to the}} band-to-band recombination of <b>free</b> <b>carriers</b> were observed in the picosecond time region. From excitation-photon-energy-dependent TA measurements, we identified a slow intraband relaxation of <b>free</b> <b>carriers</b> in the CIGS thin films. Collectively, the combination of PL and TA experiments reveal a global feature of energy relaxation and recombination processes of <b>free</b> <b>carriers</b> in the femtosecond to nanosecond time regions...|$|R
2500|$|Nano-FTIR {{has been}} used for {{nanoscale}} <b>free</b> <b>carrier</b> profiling and quantification of <b>free</b> <b>carrier</b> concentration in semiconductor devices., for evaluation of ion beam damage in nanoconstriction devices, and general spectroscopic characterization of semiconductor materials ...|$|R
40|$|We {{investigate}} {{the effect of}} silicon ion irradiation on <b>free</b> <b>carrier</b> lifetime in silicon waveguides, and thus its ability to reduce the density of two-photon-absorption (TPA) generated <b>free</b> <b>carriers.</b> Our experimental results show that <b>free</b> <b>carrier</b> lifetime can be reduced significantly by silicon ion implantation. Associated excess optical absorption from the implanted ions {{can be reduced to}} an acceptable level if irradiation energy and dose are correctly chosen. Simulations of Raman scattering suggest that net gain can be achieved in certain cases without the need for an integrated diode in reverse bias to remove the photo-generated <b>free</b> <b>carriers.</b> (c) 2008 Optical Society of Americ...|$|R
30|$|Bouloudein et al. [44] have {{considered}} {{in their study}} that the ferromagnetism in DMS is originated from the exchange interaction between <b>free</b> delocalized <b>carriers</b> and the localized d spins of the cobalt ions. Presence of <b>free</b> <b>carriers</b> is therefore necessary for the appearance of ferromagnetism. <b>Free</b> <b>carriers</b> can be induced either by doping or by defects or by cobalt ions in another oxidation state like Co 3 +. Above explanation suggests that our samples have limited number of impurities or defects, which may explain the absence of <b>free</b> <b>carriers</b> and consequently the ferromagnetism.|$|R
40|$|In semiconductors, {{nonlinear}} {{generation and}} recombination processes of <b>free</b> <b>carriers</b> and nonlinear charge transport can {{give rise to}} non-equilibrium phase transitions. At low temperatures, the basic nonlinearity {{is due to the}} autocatalytic generation of <b>free</b> <b>carriers</b> by impact ionization of shallow impurities. The electric field accelerates free electrons, causing an abrupt increase in <b>free</b> <b>carrier</b> density at a critical electric field. In static electric fields, this nonlinearity is known to yield complex filamentary current patterns bound to electric contacts...|$|R
40|$|We perform frequency- and time-resolved all-optical {{switching}} of a GaAs-AlAs micropillar cavity {{using an}} ultrafast pump-probe setup. The switching {{is achieved by}} two-photon excitation of <b>free</b> <b>carriers.</b> We track the cavity resonances in time with a high frequency resolution. The pillar modes exhibit simultaneous frequency shifts, albeit with markedly different maximum switching amplitudes and relaxation dynamics. These differences stem from the non-uniformity of the <b>free</b> <b>carrier</b> density in the micropillar, and are well understood by {{taking into account the}} spatial distribution of injected <b>free</b> <b>carriers,</b> their spatial diffusion and surface recombination at micropillar sidewall...|$|R
40|$|The main {{theoretical}} and experimental backgrounds of two-photon absorption (TPA) and TPA-induced <b>free</b> <b>carriers</b> in silicon {{are presented in}} detail. In particular, the mostly recent experimental achievements in applications of TPA and TPA-induced <b>free</b> <b>carriers</b> are discussed, such as optical limiting, optical pulse shaping, all-optical switching and modulation, all-optical logic gates, all-optical wavelength conversion and some applications of TPA in silicon photodiode. We show that TPA and TPA-induced <b>free</b> <b>carriers</b> in silicon can provide novel functional devices on chip scale, which would play important roles in the future optical communication and optical signal process systems...|$|R
40|$|We {{study the}} {{dephasing}} of excitions and <b>free</b> <b>carriers</b> in GaAs bulk and quantum well samples. The nonlinear response {{is dominated by}} the excitionic transitions, which have a room temperature dephasing time Tsub 2 of about 250 fs. The dephasing time of <b>free</b> <b>carriers</b> is much shorter than our time resolution (100 fs) ...|$|R
40|$|Signal carrier {{laser beam}} is {{optically}} modulated by a second laser beam of different frequency acting on a <b>free</b> <b>carrier</b> source to which the signal carrier laser is directed. The second laser beam affects the transmission characteristics of the <b>free</b> <b>carrier</b> source to light from the signal carrier laser, thus modulating it...|$|R
5000|$|<b>FCA</b> <b>-</b> Better {{known as}} the Fellowship of Christian Students, this group {{provides}} Christian fellowship opportunities. FCA meets on Tuesday mornings for prayer and devotionals. The group also meets periodically at the flagpole for prayer. The club is affiliated with the Salvation Army.|$|R
40|$|International audiencenonlinear {{properties}} of slotted silicon photonic waveguides filled with third-order nonlinear materials (NM, DDMEBT polymer) are quantitatively studied by separately calculating the effective nonlinearity susceptibilities associated to the silicon and cladding material, respectively. Optimization of the silicon slotted waveguide geometry is performed {{and focused on}} the optimization of optical power confinement in the high FOMTPA cladding material and of Aeff(NM) /Aeff(Si). The simulated nonlinear wave evolution results show the importance of properly choosing the silicon rail and slot widths in order to minimize the influence of the two-absorption process and associated <b>free</b> <b>carrier</b> effects (<b>free</b> <b>carrier</b> absorption, <b>free</b> <b>carrier</b> refraction) ...|$|R
40|$|Monolayer {{transition}} metal dichalcogenids (TMDs) feature valley degree of freedom, giant spin-orbit coupling and spin-valley locking. These exotic natures stimulate efforts of exploring the potential applications in conceptual spintronics, valleytronics and quantum computing. Among all the exotic directions, a long lifetime of spin and/or valley polarization is critical. The present valley dynamics studies {{concentrate on the}} band edge excitons which predominates the optical response due to the enhanced Coulomb interaction in two dimensions. The valley lifetime of <b>free</b> <b>carriers</b> remains in ambiguity. In this work, we use time-resolved Kerr rotation spectroscopy to probe the valley dynamics of excitons and <b>free</b> <b>carriers</b> in monolayer tungsten diselinide. The valley lifetime of <b>free</b> <b>carriers</b> is found around 2 ns at 70 K, about 3 orders of magnitude longer than the excitons of about 2 ps. The extended valley lifetime of <b>free</b> <b>carriers</b> evidences that exchange interaction dominates the valley relaxation in optical excitation. The pump-probe spectroscopy also reveals the exciton binding energy of 0. 60 eV in monolayer WSe 2...|$|R
40|$|Undoped InP layers {{grown at}} low {{temperature}} by atomic layer {{molecular beam epitaxy}} have been studied by Hall measurements and deep level transient spectroscopy. The <b>free</b> <b>carrier</b> concentration at room temperature increases linearly with phosphorus pressure {{and it has been}} possible to obtain layers with a <b>free</b> <b>carrier</b> concentration of 1 × 1016 cm- 3 and an electron mobility of about 3000 cm 2 V- 1 s- 1, which are similar to values for samples grown at high temperatures. Deep level transient spectroscopy shows the presence, in all the samples, of five electron traps with emission energies of 0 · 60, 0 · 40, 0 · 25, 0 · 16, and 0 · 11 eV from the conduction band, with concentrations independent of the <b>free</b> <b>carrier</b> concentration {{with the exception of the}} 0 · 40 eV trap concentration, which increases slightly with <b>free</b> <b>carrier</b> concentration. © 1996 The Institute of Materials. Peer Reviewe...|$|R
