1|1973|Public
5000|$|... #Caption: Bulk <b>freight</b> <b>car</b> <b>scales</b> at the MMA Mack Point yard, ME.|$|E
50|$|Atlas {{specialized}} {{in the building}} of small locomotives and purpose built rail borne equipment for industrial use. The equipment it manufactured seldom ran on the rails of Class I railroads, but were often used to shuttle <b>freight</b> <b>cars</b> around inside manufacturing plants. Atlas's products ranged from small 2-ton end cab switchers up to 65-ton center cab switchers. They also built a wide variety of equipment for the steel industry including blast furnace transfer <b>cars,</b> <b>scale</b> <b>cars,</b> coke quench cars, coke quench locomotives (to 75 tons), furnace cars and self-propelled flatcars. While most equipment was built for steel and coke plants within the United States, some equipment was shipped outside the country (for example 5 <b>scale</b> <b>cars</b> to Russia).|$|R
50|$|The <b>freight</b> <b>car</b> {{collection}} includes typical postwar {{types of}} <b>freight</b> <b>cars.</b> While {{some of them}} contain different exhibitions, others are used as storage. Two <b>freight</b> <b>cars</b> will be worked up {{to be used as}} baggage and bike cars.|$|R
5000|$|Types of <b>freight</b> <b>cars</b> - {{this section}} of {{railroad}} carcontains a list of US <b>freight</b> <b>car</b> types ...|$|R
50|$|Tikhvin <b>Freight</b> <b>Car</b> Building Plant {{was officially}} {{launched}} in January 2012. TVSZ produced its 10,000th <b>freight</b> <b>car</b> in July 2014.|$|R
5000|$|... #Caption: WaRa 1 <b>freight</b> <b>car</b> (date unknown). A <b>freight</b> <b>car</b> {{like this}} one was {{involved}} in the Tsurumi rail accident.|$|R
50|$|Tikhvin <b>Freight</b> <b>Car</b> Building Plant is an UWC’s core {{production}} centre and {{it produces}} rolling stock with improved technical and economic characteristics. Over {{the whole of}} 2015, UWC has manufactured 12.4 thousand <b>freight</b> <b>cars</b> and has become the leading manufacturer of new generation <b>freight</b> <b>cars</b> in Russia and the CIS. As {{at the end of}} 2015, the size of the fleet owned and operated by UWC was 27.2 thousand <b>freight</b> <b>cars,</b> a 43% increase over the previous year.|$|R
50|$|The railroad's {{business}} {{grew from}} trains pulling 200 <b>freight</b> <b>cars</b> {{per year in}} the 1980s to 18,000 <b>freight</b> <b>cars</b> in 2006. By 2006, it owned a fleet of ten locomotives; three GP9 low hoods, and seven GP38-3, all of EMD build. Its rolling stock also included 410 <b>freight</b> <b>cars</b> owned and/or leased.|$|R
50|$|The {{railroad}} {{does not}} directly own or lease any <b>freight</b> <b>cars.</b> Instead, all of the <b>freight</b> <b>cars</b> it uses are provided by the BNSF Railway.|$|R
50|$|<b>Freight</b> <b>car</b> {{production}} {{continued at}} the former Ensign plant under ACF, with the first all-steel <b>freight</b> <b>car</b> built {{in the winter of}} 1905/06. During World War II, a number of cars were built there to British designs for export. The former Ensign plant continued as a major <b>freight</b> <b>car</b> manufacturing plant through the 1990s, when the plant was used to produce ACF's Centerflow hoppers.|$|R
50|$|Palmer {{had been}} {{located on the}} Williamsburg {{waterfront}} since the 1860s as Palmer's Cooperage. In 1870, Palmer organized Palmer's Dock, a freight terminal. In 1873, he started a navigation company with a single tugboat and carfloat that would transport railroad <b>freight</b> <b>cars</b> to the Williamsburg waterfront where those <b>freight</b> <b>cars</b> would be unloaded directly at the bulkhead, but no floatbridge existed {{at this time to}} unload the <b>freight</b> <b>cars.</b>|$|R
5000|$|When trains reached Oakland, <b>freight</b> <b>cars</b> {{were loaded}} aboard ferries from Long Wharf on Oakland Point {{beginning}} in 1870. <b>Freight</b> <b>car</b> ferry loading {{switched to the}} Oakland Mole in 1881. After 1890 <b>freight</b> <b>cars</b> were delivered to the San Francisco Belt Railroad ferry slip {{at the foot of}} Lombard and East Streets. Belt Railroad tracks were later dual-gauged to also carry cars from the narrow gauge North and South Pacific Coast Railroads.|$|R
25|$|In mid-1981, Pullman, Inc., {{spun off}} its <b>freight</b> <b>car</b> {{manufacturing}} interests as Pullman Transportation Company. Several plants {{were closed and}} in 1984, the remaining railcar manufacturing plants and the Pullman-Standard <b>freight</b> <b>car</b> designs and patents were sold to Trinity Industries.|$|R
25|$|From 1923 to 1991, Bethlehem Steel {{was one of}} the world's leading {{producers}} of railroad <b>freight</b> <b>cars</b> through their purchase of the former Midvale Steel and Ordnance Company, whose railcar division was at Johnstown, Pennsylvania. Despite its status as a major integrated steel maker, Bethlehem Steel <b>Freight</b> <b>Car</b> Division pioneered the use of aluminum in <b>freight</b> <b>car</b> construction. The Johnstown plant was purchased from Bethlehem Steel through a management buyout in 1991, creating Johnstown America Industries.|$|R
50|$|On July 29, 2015, 91 <b>freight</b> <b>cars</b> {{ran away}} in the CN MacMillan Yard after they {{separated}} from a switching locomotive. Nine of those <b>freight</b> <b>cars</b> derailed and two <b>freight</b> <b>cars</b> on an adjacent track were damaged when the runaway cars collided at low speed with other cars that {{were a part of}} an incoming train in the yard. No injuries were reported. The Transportation Safety Board sent two inspectors to the site to investigate the incident.|$|R
50|$|During {{the period}} of nationalization, Tver Carriage Works {{produced}} passenger coaches, <b>freight</b> <b>cars,</b> tank cars, bogies, and two-wheeled carts for the Military Technical Department and different agricultural tools. In 1926 the plant started the production of 4-axle <b>freight</b> <b>cars,</b> platforms and third-class long-distance cars. During the years of industrialization, 20-ton <b>freight</b> <b>cars,</b> flat cars, 20.2-meter third-class passenger coaches and postal-baggage cars were the main types of Tver Carriage Works’s products. At the same time Tver Carriage Works manufactured cars for the Red Army, trailer vans to tractor drivers, and trailers' workshops.|$|R
40|$|Photograph of <b>freight</b> <b>car</b> with sign painted on, Southern California, 1931. "Union Pacific; O. S. L. 18761; Cap'y 100000; LD. LMT. 123800; LT. WT. 45200 AR. 9 - 30; E. W. 10 - 0; E. H. 13 - 4; I. L. 40 - 0; L. W. 9 - 2; L. H. 9 - 2; CU FT. 3370; Blt New 6 - 11, REBLT 5 - 20; B- 50 - 6 " [...] on <b>freight</b> <b>car.</b> "Straight Car, Maxwell House Vacumm-Packed Coffee for Butte Wholesale Grocery Company, Butte, Montana" [...] on sign on <b>freight</b> <b>car...</b>|$|R
2500|$|In 2013, {{there were}} 60,600 {{passenger}} cars, 85.9% {{of which were}} air conditioned. The Harmony Express electrical multiple units totaled 1,411 sets and 13,696 <b>cars.</b> [...] <b>Freight</b> <b>cars</b> totaled 710,100. [...] In 2011, there were 52,130 passenger coaches and 622,284 <b>freight</b> <b>cars.</b>|$|R
