1|565|Public
5000|$|... #Subtitle level 3: FAS - <b>Free</b> <b>Alongside</b> <b>Ship</b> (named port of shipment) ...|$|E
50|$|<b>Alongside</b> <b>ship</b> {{management}} (technical {{management and}} crewing), the company offers {{services in the}} fields of chartering, new-build planning, modifications and insurance to its customers.|$|R
5000|$|On May 4, 2008 Onevision {{announced}} that it would supply 6 channels for <b>free</b> <b>alongside</b> subscription based channels and the public service broadcasters ...|$|R
50|$|The {{first issue}} was {{launched}} on October, 2004. It was <b>free</b> <b>alongside</b> Metro newspaper or a special number of El Jueves. All {{the other issues}} had 56 pages and were sold for 1,20 €.|$|R
50|$|While {{investigating}} {{the past of}} General Rey, Duke discovers {{that he had a}} long ago confrontation with Scrap-Iron in the fictional country of Borovia. Scrap-Iron is eventually <b>freed</b> <b>alongside</b> several others, during an assault on The Coffin led by Tomax.|$|R
5000|$|... #Caption: [...] with {{secondary}} armament in casemates <b>alongside</b> of <b>ship</b> ...|$|R
50|$|Later, Sunfire battles Namor the Sub-Mariner, {{but then}} {{alongside}} Namor he battles the Dragon Lord. He also battles Iron Man, but is abducted by the Mandarin {{and used to}} power one of his machines. When he is <b>freed,</b> <b>alongside</b> Iron Man he battles Ultimo.|$|R
50|$|New Escapologist {{was founded}} in 2007. Speaking at a public event {{together}} in 2009, Robert Wringham told Tom Hodgkinson that he started New Escapologist after reading Hodgkinson's book How to be <b>Free</b> <b>alongside</b> a biography of Houdini and Among the Bohemians: experiments in living by Virginia Nicholson.|$|R
5000|$|... 21 November and 22 November 1916 at Zanzibar - collier <b>alongside</b> re-coaled <b>ship</b> ...|$|R
5000|$|... #Caption: Aerial {{photograph}} {{during the}} boarding SS Mayagüez, note Cambodian gunboats <b>alongside</b> the <b>ship.</b>|$|R
5000|$|... #Caption: The Rising Sun docked <b>alongside</b> other <b>ships</b> in Puerto Vallarta, Mexico on February 4th, 2017.|$|R
50|$|The {{first major}} {{change to the}} ship-of-the-line concept was the {{introduction}} of steam power as an auxiliary propulsion system. The first military uses of steamships came in the 1810s, and in the 1820s a number of navies experimented with paddle steamer warships. Their use spread in the 1830s, with paddle-steamer warships participating in conflicts like the First Opium War <b>alongside</b> <b>ships</b> {{of the line and}} frigates.|$|R
60|$|He {{laid his}} hand affectionately on Willems' shoulder, {{and they both}} sat silent till the boat came <b>alongside</b> the <b>ship's</b> ladder.|$|R
5000|$|... #Caption: Admiral Sellers (left) in {{the control}} cabin of the airship [...] <b>alongside</b> the <b>ship's</b> {{commanding}} officer, Commander Alger H. Dresel.|$|R
6000|$|... "There's {{the white}} paint line," [...] said Ezra. [...] "It's {{certainly}} her. Take us <b>alongside</b> that <b>ship</b> which is {{lying to the}} outside there, Sampson." ...|$|R
50|$|When Reed Richards and his Dark Ultimates {{destroy the}} Triskellion, Thor leaves to drown his sorrows {{at a small}} bar in Arizona. Bruce Banner tracks Thor down and {{transforms}} into the Hulk, leading to a rematch between the two. Thor is defeated and imprisoned, but is later <b>freed</b> <b>alongside</b> {{the rest of his}} teammates. Iron Man also creates a new hammer and suit of armor for Thor by using Reed's future technology.|$|R
60|$|The {{next morning}} {{a number of}} {{lighters}} came <b>alongside</b> the <b>ships,</b> {{and the work of}} discharging the cargo commenced. After breakfast Ralph and Jacques were rowed ashore.|$|R
60|$|This {{train of}} thought {{occupied}} him until almost mechanically he left the train, {{walked down to the}} water, hailed a boat, and was taken <b>alongside</b> his <b>ship.</b>|$|R
