1|10000|Public
5000|$|<b>Intermingling</b> <b>of</b> <b>assets</b> of the {{corporation}} and of the shareholder; ...|$|E
2500|$|... bandha (bondage)- mutual <b>intermingling</b> <b>of</b> {{the soul}} and karmas.|$|R
5000|$|Homogeneous <b>intermingling</b> <b>of</b> all the {{sections}} of Indian society.|$|R
5000|$|... bandha (bondage)- mutual <b>intermingling</b> <b>of</b> {{the soul}} and karmas.|$|R
5000|$|... bondage (Bandha)- mutual <b>intermingling</b> <b>of</b> {{the soul}} and karmas ...|$|R
5000|$|Wet {{paint is}} placed into wet paint {{without waiting for}} {{successive}} applications to dry, producing softer edges and <b>intermingling</b> <b>of</b> colour.|$|R
30|$|The break scale {{estimates}} {{within the}} structured region {{as summarized in}} the lower frames of Figs.  8, 9, and 10 show more variability. Movie presentations of slice plane realizations and the associated SDFs highlight the <b>intermingling</b> <b>of</b> the large-scale EPB structure with the background. The several kilometer size of the bifurcations shown in Fig.  7 {{appears to be a}} lower bound on the break frequency. However, the <b>intermingling</b> <b>of</b> the EPBs with the background evidently modulates the structure.|$|R
6000|$|It must be you {{who desire}} this <b>intermingling</b> <b>of</b> {{the black and}} monstrous [...] fingers of Moloch in the blood-jets of your throat.|$|R
50|$|Bandha (also karma-bandha) in Jainism, is {{the mutual}} <b>intermingling</b> <b>of</b> {{the soul and}} karmas (fine matter). Bandha (Bondage) comes {{immediately}} after the asrava (influx of karmas).|$|R
2500|$|Markings is characterised by Hammarskjöld's <b>intermingling</b> <b>of</b> {{prose and}} haiku poetry {{in a manner}} {{exemplified}} by the 17th-century Japanese poet Basho in his Narrow Roads to the Deep North. Representative examples include: ...|$|R
40|$|Abstract Clonal growth, {{which allows}} the {{multiplication}} of flowering shoots of the same genet, {{can lead to a}} large floral display and may thus increase the rate of selfing through geitonogamy as a consequence of {{an increase in the number}} of successively visited flowers. The aim of the present research was to analyse the combined effect of the diversity and <b>intermingling</b> <b>of</b> clones on the rate of selfing in Vaccinium myrtillus. Four mother plants were selected within patches characterised by contrasting clonal structure (low versus high number and <b>intermingling</b> <b>of</b> clones). The selfing rate was significantly lower for plants situated within patches characterised by a high number <b>of</b> <b>intermingled</b> clones (3 %) than for plants situated in patches with a low number of clones (50 %). Therefore, for this species suffering from inbreeding depression, an increase in the number or the <b>intermingling</b> <b>of</b> the clones could reduce the rate and the cost of geitonogamy and allow a large floral display to attract pollinators. We also found that the main pollinators, bumblebee queens, presented a foraging behaviour favouring geitonogamy, as their successive visits to flowers were quite short (89 % of flights were 40 cm or less) ...|$|R
60|$|For a time back, {{across the}} {{otherwise}} blue-jean career of Israel, Paul Jones flits and re-flits like a crimson thread. One more brief <b>intermingling</b> <b>of</b> it, {{and to the}} plain old homespun we return.|$|R
50|$|The righteous <b>intermingling</b> <b>of</b> self-justification and self-pity was as {{important}} {{a factor in}} creating a hostile environment for a public confession as were postwar fears of another Versailles or Allied charges of collective guilt.|$|R
5000|$|... "The <b>intermingling</b> <b>of</b> the sects was {{attended}} by the happiest results, inasmuch as it allowed the young people to understand one another and contract friendships which no subsequent surroundings or whispers of bigotry could ever wholly efface".|$|R
40|$|Traffic {{variables}} on an uncongested Internet wire exhibit a pervasive nonstationarity. As {{the rate of}} new TCP connections increases, arrival processes (packet and connection) tend locally toward Poisson, and time series variables (packet sizes, transferred file sizes, and connection round-trip times) tend locally toward independent. The cause of the nonstationarity is superposition: the <b>intermingling</b> <b>of</b> sequences of connections between different source-destination pairs, and the <b>intermingling</b> <b>of</b> sequences of packets from different connections. We show this empirically by extensive study of packet traces for nine links coming from four packet header databases. We show it theoretically by invoking the mathematical theory of point processes and time series. If the connection rate on a link gets sufficiently high, the variables can be quite close to Poisson and independent; if major congestion occurs on the wire before the rate gets sufficiently high, then the progression toward Poisson and independent can be arrested for some variables...|$|R
