1|10000|Public
5000|$|... "Mou 'Pe Mia Psihi" [...] (Μου 'Πε Μια Ψυχή; <b>I</b> <b>Told</b> <b>Me</b> A Soul) - 3:46 ...|$|E
6000|$|... "The Catholic Church? what Church else?" [...] {{said the}} young lady. [...] "But <b>I</b> forgot--they <b>told</b> <b>me</b> {{you are a}} heretic. Is that true, Mr. Osbaldistone?" ...|$|R
6000|$|... "I {{shall not}} get poor Harry into a scrape, shall <b>I?</b> He <b>told</b> <b>me</b> {{that you said}} so, last spring, and I feared you judged me too truly." ...|$|R
60|$|My father, <b>I</b> say, <b>told</b> <b>me</b> that he {{was more}} pestered with the clamours of these people than of those who were truly refugees, and fled in {{distress}} merely for conscience.|$|R
6000|$|They both {{stopped and}} looked at me. 'On the very day when I last saw him,' said <b>I,</b> 'he <b>told</b> <b>me</b> that he had, and that his affairs were long since settled.' ...|$|R
60|$|MRS. MEGAN. [With faint eagerness.] Yes, sir, an' <b>I</b> <b>told</b> {{you about}} <b>me</b> vi'lets--it was a luvly spring-day.|$|R
60|$|JAMES. Oh, well, we must {{go forward}} there. <b>I</b> thought you <b>told</b> <b>me</b> {{yesterday}} the firm's balance was over four hundred.|$|R
6000|$|... 'I {{dare say}} not, Mr Melmotte. When I'm {{at home in}} San Francisco, I make {{acquaintance}} with a great many gents whom I don't remember afterwards. My partner <b>I</b> think <b>told</b> <b>me</b> {{that he went to}} your house with his friend, Sir Felix Carbury.' ...|$|R
6000|$|... "You {{never could}} have {{imagined}} it! Never! Even <b>I,</b> when mother <b>told</b> <b>me,</b> <b>I</b> thought I should have fainted, and ALL would have been revealed!" ...|$|R
6000|$|The young officer's {{eyes opened}} wide. [...] "Ah! <b>I</b> see. They <b>told</b> <b>me</b> {{at the time}} that they were friends of the Secretary. That {{explains}} it." ...|$|R
6000|$|... "I must apologize," [...] the {{newcomer}} said, [...] "for my intrusion. Your housekeeper, I presume it was, whom <b>I</b> saw below, <b>told</b> <b>me</b> to come up." ...|$|R
6000|$|... "But <b>I</b> {{thought you}} <b>told</b> <b>me</b> awhile ago {{that as soon}} as a husband could afford it he {{relieved}} his wife and daughters from all household work." ...|$|R
